id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,157.4,672,67.2,773,6,191,171
F2-02,F2,112.8,89,8.9,770,13,34,68
F2-03,F2,108.0,37,3.7,803,17,22,32
F1-01,F1,21.8,58,5.8,880,17,41,30
F1-02,F1,21.4,182,18.2,573,30,107,54
F2-04,F2,163.8,191,19.1,899,77,92,44
F1-03,F1,56.4,180,18.0,711,115,88,95
F2-05,F2,98.4,420,42.0,581,129,109,208
F1-04,F1,39.8,34,3.4,615,143,35,27
F2-06,F2,147.1,170,17.0,336,238,54,42
F1-06,F1,73.2,62,6.2,494,273,20,57
FV-01,FV,94.0,1855,185.5,532,323,150,469
F2-07,F2,151.3,33,3.3,611,350,25,15
F2-08,F2,160.8,267,26.7,286,358,90,58
FV-02,FV,85.7,37,3.7,917,369,7,28
F2-09,F2,103.2,41,4.1,268,398,10,26
FV-05,FV,89.4,269,26.9,916,545,6,197
FV-06,FV,90.3,34,3.4,964,630,6,38
FV-07,FV,85.7,68,6.8,233,689,8,51
F1-09,F1,28.4,52,5.2,179,722,35,22
F2-11,F2,149.8,77,7.7,128,725,50,31
F1-10,F1,33.9,180,18.0,649,725,78,62
FV-09,FV,91.2,33,3.3,966,739,3,20
