id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,153.5,157,15.7,70,0,62,60
F1-02,F1,54.4,53,5.3,143,0,22,26
F1-03,F1,22.1,158,15.8,287,0,80,57
F2-04,F2,162.6,146,14.6,445,3,105,40
F1-05,F1,42.7,126,12.6,843,6,73,63
F1-06,F1,50.8,55,5.5,257,9,29,28
F2-05,F2,126.1,234,23.4,371,8,83,86
F1-07,F1,25.1,32,3.2,817,13,23,12
F1-08,F1,18.6,98,9.8,195,15,69,32
F1-09,F1,61.0,174,17.4,555,15,63,76
F1-10,F1,80.3,39,3.9,61,16,15,26
F2-06,F2,98.5,76,7.6,0,24,34,45
F1-11,F1,69.6,272,27.2,494,30,72,127
F1-12,F1,21.4,38,3.8,604,30,26,13
F2-08,F2,114.0,70,7.0,134,33,23,34
F2-09,F2,98.6,35,3.5,598,33,6,25
F1-13,F1,23.9,79,7.9,634,38,48,23
F2-10,F2,115.9,33,3.3,425,44,17,24
F1-14,F1,35.2,67,6.7,933,46,52,39
F2-11,F2,163.1,240,24.0,188,49,112,68
F1-17,F1,61.9,142,14.2,806,55,43,59
FV-01,FV,90.4,91,9.1,479,58,35,33
F1-18,F1,43.6,55,5.5,157,63,19,22
F1-23,F1,23.9,53,5.3,726,76,40,20
F2-13,F2,110.0,38,3.8,19,79,20,20
F2-14,F2,140.0,48,4.8,161,86,23,19
F2-15,F2,103.5,41,4.1,415,86,13,22
FV-02,FV,87.0,121,12.1,982,87,14,73
FV-03,FV,94.7,33,3.3,80,90,7,26
F1-25,F1,23.1,32,3.2,674,93,21,12
F1-26,F1,79.1,35,3.5,856,92,10,23
F2-17,F2,147.9,60,6.0,330,94,45,33
F1-27,F1,48.3,37,3.7,431,94,18,19
F2-19,F2,141.5,97,9.7,731,99,54,40
F1-29,F1,78.2,48,4.8,189,105,25,34
F1-30,F1,25.8,34,3.4,460,106,17,11
F1-31,F1,83.7,112,11.2,797,106,16,86
F2-21,F2,149.0,44,4.4,261,117,28,26
F2-22,F2,140.2,114,11.4,207,119,50,56
F1-33,F1,59.6,55,5.5,559,121,23,42
F1-34,F1,17.4,70,7.0,652,123,29,18
F2-24,F2,108.2,112,11.2,55,127,32,45
FV-06,FV,89.1,40,4.0,773,131,5,33
F2-25,F2,95.6,41,4.1,101,133,13,25
F2-26,F2,132.3,41,4.1,303,136,19,19
