id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,141.4,111,11.1,313,0,53,48
F1-01,F1,40.9,419,41.9,352,0,116,95
F2-02,F2,157.7,190,19.0,402,0,83,36
FV-01,FV,86.3,237,23.7,764,0,16,162
F1-04,F1,53.6,94,9.4,536,23,37,39
FV-02,FV,86.9,382,38.2,784,26,16,260
F2-03,F2,110.6,109,10.9,314,37,42,55
F2-04,F2,115.0,136,13.6,0,38,30,48
F2-05,F2,114.9,138,13.8,274,53,38,41
F2-07,F2,145.9,88,8.8,315,88,39,49
F2-09,F2,145.0,186,18.6,264,135,64,60
FV-04,FV,94.1,115,11.5,591,147,22,62
F2-10,F2,140.0,124,12.4,440,156,51,41
F2-11,F2,106.2,87,8.7,228,158,35,39
F2-12,F2,99.5,31,3.1,745,167,9,25
F1-05,F1,47.5,461,46.1,692,168,94,130
F1-06,F1,67.8,73,7.3,880,173,26,37
F2-13,F2,118.0,193,19.3,815,183,50,61
F2-14,F2,95.7,45,4.5,808,200,12,26
F1-07,F1,49.2,44,4.4,866,205,20,19
F1-08,F1,74.4,88,8.8,252,206,22,48
F2-16,F2,125.3,88,8.8,594,214,24,27
F1-09,F1,59.0,191,19.1,31,219,58,69
F2-17,F2,150.1,67,6.7,86,223,33,24
F2-18,F2,127.3,89,8.9,872,222,46,51
F2-19,F2,156.5,31,3.1,0,229,23,9
FV-05,FV,90.0,31,3.1,576,229,3,19
FV-06,FV,92.4,45,4.5,694,237,6,39
F1-10,F1,83.4,57,5.7,213,244,10,43
F2-20,F2,163.0,86,8.6,276,246,29,25
F1-11,F1,69.5,75,7.5,225,248,30,29
FV-08,FV,91.0,132,13.2,598,251,14,43
FV-09,FV,92.4,61,6.1,502,253,10,41
FV-10,FV,87.9,52,5.2,919,255,4,33
F2-21,F2,118.7,47,4.7,474,259,24,27
F2-22,F2,149.2,45,4.5,371,279,29,20
F2-23,F2,154.1,56,5.6,101,280,37,17
F2-24,F2,105.7,30,3.0,175,280,15,19
F1-13,F1,63.3,68,6.8,70,289,30,31
F1-14,F1,65.9,311,31.1,800,293,84,121
F1-15,F1,58.3,285,28.5,892,293,103,132
F1-16,F1,76.9,75,7.5,579,298,23,27
F2-28,F2,147.9,409,40.9,591,299,101,85
F1-18,F1,46.7,220,22.0,707,304,75,101
F2-29,F2,117.2,91,9.1,0,308,34,64
F2-30,F2,152.4,78,7.8,186,309,33,21
F1-20,F1,83.9,60,6.0,393,311,15,37
F2-31,F2,158.5,119,11.9,9,321,78,46
F1-21,F1,29.8,176,17.6,127,324,87,58
FV-11,FV,90.2,50,5.0,796,333,4,47
F2-32,F2,162.2,50,5.0,270,339,33,14
FV-12,FV,92.0,46,4.6,565,338,5,31
F1-22,F1,42.1,135,13.5,85,346,78,66
FV-14,FV,94.7,63,6.3,679,349,12,47
F1-23,F1,49.9,141,14.1,579,356,49,47
F1-24,F1,30.6,34,3.4,49,365,24,16
FV-15,FV,91.0,85,8.5,225,364,6,66
F2-34,F2,156.7,187,18.7,28,383,77,48
F2-35,F2,108.3,40,4.0,785,382,12,29
F1-25,F1,81.6,102,10.2,182,390,41,47
F1-26,F1,59.4,58,5.8,904,394,22,23
F1-27,F1,15.5,172,17.2,924,401,76,38
F1-28,F1,18.0,63,6.3,107,405,33,19
F2-36,F2,129.6,110,11.0,126,413,55,57
F2-37,F2,95.4,123,12.3,413,422,31,76
F2-38,F2,150.1,38,3.8,0,427,27,16
FV-16,FV,89.8,55,5.5,226,438,2,37
F2-39,F2,149.7,96,9.6,42,447,75,45
FV-17,FV,94.6,33,3.3,135,471,7,24
F2-43,F2,148.0,39,3.9,191,483,23,14
F1-29,F1,22.3,338,33.8,595,486,107,58
F1-30,F1,15.7,669,66.9,669,487,158,81
F2-44,F2,164.0,63,6.3,0,492,41,21
F1-31,F1,53.0,266,26.6,129,503,88,90
F1-32,F1,50.5,73,7.3,970,505,30,26
F2-45,F2,111.8,77,7.7,0,511,27,47
F1-33,F1,50.3,175,17.5,231,512,66,46
F2-46,F2,128.7,128,12.8,427,513,56,53
F2-47,F2,159.1,34,3.4,104,515,25,13
FV-18,FV,90.3,62,6.2,224,529,6,50
FV-19,FV,85.1,115,11.5,301,536,38,50
F2-50,F2,131.5,64,6.4,128,557,29,34
F1-39,F1,26.8,237,23.7,40,575,76,64
F2-51,F2,153.4,215,21.5,185,584,58,63
F1-40,F1,35.4,265,26.5,117,591,87,51
F2-53,F2,108.6,209,20.9,0,597,54,61
F1-41,F1,73.1,126,12.6,63,603,33,37
F1-42,F1,28.4,166,16.6,243,602,58,34
F1-43,F1,39.7,41,4.1,722,605,36,23
F1-44,F1,63.2,109,10.9,542,610,45,49
F1-45,F1,61.5,68,6.8,405,614,32,27
F1-46,F1,21.8,182,18.2,13,625,54,33
F2-55,F2,133.5,128,12.8,310,635,85,74
F1-47,F1,67.3,183,18.3,633,634,61,68
F1-48,F1,22.0,151,15.1,905,635,69,47
F1-49,F1,55.4,117,11.7,691,636,44,35
F1-50,F1,22.2,61,6.1,394,658,49,20
F2-57,F2,124.2,57,5.7,465,661,27,27
F1-55,F1,62.8,61,6.1,420,735,23,21
