id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,159.8,36,3.6,611,0,27,9
F2-02,F2,161.3,44,4.4,580,9,30,10
F2-03,F2,163.8,290,29.0,248,47,211,62
F2-05,F2,163.1,44,4.4,179,121,32,11
F2-08,F2,161.7,70,7.0,102,141,46,17
F2-10,F2,103.6,114,11.4,74,158,27,75
F2-12,F2,96.1,164,16.4,61,234,13,118
FV-02,FV,93.3,51,5.1,56,376,3,40
FV-05,FV,92.8,102,10.2,47,462,6,72
F2-16,F2,155.4,33,3.3,861,29,29,18
F2-17,F2,150.6,251,25.1,488,56,86,65
F2-18,F2,144.4,747,74.7,424,67,285,268
F2-19,F2,164.9,99,9.9,374,72,79,28
F2-20,F2,139.2,814,81.4,419,75,402,341
F2-21,F2,164.0,97,9.7,266,97,87,36
F2-23,F2,157.0,320,32.0,295,115,171,80
F1-06,F1,64.0,38,3.8,753,163,20,42
F2-25,F2,149.0,108,10.8,187,177,63,41
F2-28,F2,134.6,40,4.0,159,214,18,19
F2-29,F2,122.1,53,5.3,232,218,25,26
F1-07,F1,63.0,54,5.4,447,221,22,32
F1-08,F1,41.1,31,3.1,338,228,19,13
F2-33,F2,99.8,30,3.0,287,256,10,18
F2-34,F2,150.7,107,10.7,466,266,62,50
F2-35,F2,149.7,45,4.5,166,295,20,16
FV-06,FV,91.1,34,3.4,319,326,17,20
F1-11,F1,42.5,31,3.1,132,346,23,27
F2-38,F2,131.7,170,17.0,918,365,72,84
FV-07,FV,91.3,237,23.7,416,413,8,175
F2-39,F2,130.8,192,19.2,855,424,67,81
F2-41,F2,101.1,36,3.6,126,482,12,17
F2-42,F2,135.7,33,3.3,317,496,20,16
F2-43,F2,134.4,540,54.0,654,508,196,196
FV-10,FV,92.0,341,34.1,39,535,11,230
FV-11,FV,91.2,41,4.1,416,589,2,36
F2-45,F2,146.4,31,3.1,201,624,25,23
FV-12,FV,89.1,234,23.4,416,626,4,174
F1-17,F1,81.0,50,5.0,297,654,21,28
F2-47,F2,134.3,278,27.8,862,667,138,129
F2-49,F2,141.3,31,3.1,278,703,23,20
F2-51,F2,162.2,44,4.4,610,717,25,20
F2-52,F2,141.3,117,11.7,553,731,59,43
FV-14,FV,91.7,49,4.9,39,766,3,34
