id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,141.1,119,11.9,0,0,73,60
F2-02,F2,119.1,73,7.3,205,0,29,50
F2-03,F2,140.2,448,44.8,194,0,291,231
F2-04,F2,121.3,32,3.2,514,0,13,22
F2-06,F2,114.2,45,4.5,508,23,17,35
F2-13,F2,108.8,32,3.2,470,94,9,27
F2-14,F2,121.9,63,6.3,463,94,26,42
F2-15,F2,121.4,201,20.1,406,138,58,91
F2-17,F2,110.7,137,13.7,352,216,53,86
F2-18,F2,115.5,112,11.2,392,230,29,53
F2-21,F2,146.3,110,11.0,652,333,74,52
F1-01,F1,72.7,36,3.6,761,332,11,28
F2-22,F2,130.9,57,5.7,735,361,31,38
F2-23,F2,146.1,42,4.2,619,385,32,23
F2-24,F2,141.5,41,4.1,589,408,29,23
F2-25,F2,139.4,149,14.9,460,86,100,84
FV-01,FV,85.2,158,15.8,855,201,11,123
F2-26,F2,134.0,32,3.2,760,292,20,22
F2-27,F2,134.3,47,4.7,212,320,26,24
F2-28,F2,137.1,184,18.4,93,344,118,111
F2-29,F2,112.0,247,24.7,0,456,93,114
F1-02,F1,82.6,57,5.7,849,159,6,41
F2-30,F2,138.4,136,13.6,96,216,97,85
F2-31,F2,144.6,43,4.3,781,270,31,24
F1-03,F1,61.8,32,3.2,10,435,15,27
F1-04,F1,65.0,81,8.1,270,239,33,46
F2-33,F2,145.7,43,4.3,822,244,33,19
F2-34,F2,139.7,1165,116.5,530,0,307,295
F1-06,F1,79.4,213,21.3,957,7,34,172
F2-35,F2,145.7,58,5.8,237,24,41,29
F2-36,F2,141.2,471,47.1,0,60,269,214
F1-07,F1,81.1,114,11.4,834,65,16,86
F2-37,F2,155.3,59,5.9,428,232,49,23
F2-38,F2,128.5,116,11.6,0,322,67,85
F2-39,F2,144.9,827,82.7,191,324,301,195
FV-02,FV,87.6,105,10.5,863,325,6,78
F1-08,F1,48.3,167,16.7,401,389,85,99
F2-40,F2,161.8,511,51.1,688,404,182,136
F2-41,F2,136.4,105,10.5,516,434,68,62
F2-42,F2,143.7,125,12.5,422,489,84,69
F1-09,F1,73.9,43,4.3,517,498,9,29
FV-03,FV,90.2,84,8.4,498,507,26,49
F2-44,F2,105.3,102,10.2,457,560,32,70
F1-13,F1,62.0,51,5.1,540,578,17,33
F2-47,F2,133.1,46,4.6,360,585,25,28
F1-14,F1,55.7,73,7.3,485,600,34,37
F2-48,F2,133.0,231,23.1,270,614,91,90
F1-16,F1,61.2,35,3.5,573,647,16,21
F1-17,F1,28.3,30,3.0,565,667,15,14
F2-50,F2,142.2,32,3.2,246,680,21,14
F1-18,F1,35.1,45,4.5,533,685,32,22
F1-19,F1,56.8,30,3.0,572,688,15,18
F1-20,F1,52.6,32,3.2,450,693,15,19
F1-22,F1,51.0,48,4.8,370,694,21,24
F2-52,F2,157.7,70,7.0,255,705,32,26
F1-23,F1,50.9,54,5.4,207,708,24,24
F2-55,F2,140.1,34,3.4,456,718,17,19
F1-25,F1,39.0,50,5.0,231,722,27,20
F2-57,F2,149.0,54,5.4,461,724,30,22
F2-58,F2,156.7,57,5.7,512,725,39,17
F2-60,F2,149.6,49,4.9,486,727,25,18
F1-27,F1,31.7,34,3.4,296,771,15,15
FV-05,FV,85.9,36,3.6,484,772,12,14
F2-62,F2,159.6,50,5.0,557,604,38,21
F1-29,F1,40.5,100,10.0,516,638,35,46
F2-63,F2,107.9,128,12.8,489,672,43,54
F2-64,F2,154.1,164,16.4,598,675,61,41
F1-30,F1,15.7,103,10.3,660,683,65,28
F1-32,F1,65.9,142,14.2,160,686,37,52
F1-33,F1,27.0,40,4.0,641,691,21,18
F2-65,F2,142.7,78,7.8,216,760,32,25
F2-66,F2,130.7,94,9.4,196,620,50,63
F2-67,F2,119.6,32,3.2,343,678,14,22
F1-36,F1,45.3,60,6.0,736,685,22,19
F2-68,F2,138.7,127,12.7,109,687,50,43
F1-37,F1,26.5,37,3.7,759,698,23,15
F2-69,F2,162.9,31,3.1,818,700,21,12
F2-71,F2,138.2,58,5.8,783,675,36,35
F1-38,F1,68.2,46,4.6,820,674,17,29
F2-72,F2,139.7,196,19.6,38,610,98,107
F2-73,F2,125.9,56,5.6,829,624,29,38
F2-74,F2,128.4,42,4.2,123,579,25,30
F1-41,F1,79.5,35,3.5,87,609,13,20
F2-78,F2,141.1,76,7.6,0,627,51,43
F2-80,F2,144.5,75,7.5,148,527,52,38
F1-43,F1,40.6,139,13.9,174,540,86,68
F1-44,F1,81.8,147,14.7,796,498,40,94
FV-06,FV,91.9,103,10.3,863,507,5,76
F2-81,F2,98.6,34,3.4,213,511,8,33
F2-82,F2,148.9,59,5.9,723,515,39,29
F2-83,F2,142.9,131,13.1,596,540,91,64
F1-46,F1,62.2,46,4.6,62,573,18,33
F2-84,F2,96.1,191,19.1,840,584,26,125
F2-85,F2,121.2,132,13.2,719,606,60,90
F2-88,F2,157.1,383,38.3,835,699,160,98
