id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,17.1,68,6.8,948,0,52,17
F1-02,F1,44.4,396,39.6,452,2,144,111
F2-01,F2,127.8,35,3.5,305,6,15,19
F1-03,F1,63.2,735,73.5,576,17,212,354
F2-02,F2,146.5,220,22.0,326,42,175,114
F1-04,F1,52.2,38,3.8,63,79,21,25
F2-03,F2,111.2,109,10.9,249,89,36,73
F2-04,F2,151.9,134,13.4,621,115,107,59
F1-05,F1,78.5,515,51.5,517,116,122,244
F2-05,F2,149.1,122,12.2,426,152,84,51
F2-06,F2,119.5,143,14.3,477,159,55,88
F2-07,F2,152.5,118,11.8,212,170,83,50
F2-08,F2,145.4,102,10.2,139,220,76,52
F2-10,F2,148.1,36,3.6,114,279,24,16
F2-11,F2,133.3,84,8.4,79,290,33,35
F2-13,F2,124.5,101,10.1,361,334,50,62
F2-14,F2,133.9,39,3.9,398,348,20,20
F2-17,F2,154.8,158,15.8,644,378,118,51
F2-19,F2,148.6,75,7.5,587,444,57,36
F1-07,F1,66.4,31,3.1,688,429,11,25
FV-01,FV,94.3,124,12.4,663,458,29,91
F1-08,F1,50.1,33,3.3,675,550,19,19
F2-20,F2,156.7,219,21.9,557,553,124,70
F1-11,F1,51.8,97,9.7,595,689,37,32
F2-23,F2,161.6,60,6.0,497,704,33,17
F1-12,F1,36.9,159,15.9,638,707,61,52
F1-15,F1,18.8,67,6.7,455,745,42,23
F1-16,F1,58.9,37,3.7,507,619,16,25
F2-27,F2,151.2,103,10.3,469,688,43,31
F2-30,F2,105.8,54,5.4,422,705,20,25
F1-18,F1,41.1,71,7.1,554,706,38,36
F2-31,F2,116.2,52,5.2,438,708,19,37
F1-23,F1,35.2,33,3.3,388,726,14,16
F2-32,F2,135.7,45,4.5,544,731,20,20
F1-25,F1,62.8,39,3.9,490,588,17,30
F2-34,F2,144.2,65,6.5,642,644,40,34
F1-27,F1,80.3,187,18.7,448,584,51,104
F2-36,F2,126.0,62,6.2,434,593,32,43
F2-38,F2,138.0,72,7.2,403,637,44,44
F2-39,F2,125.8,46,4.6,736,648,25,34
F2-40,F2,158.3,70,7.0,350,666,44,25
F1-29,F1,50.3,68,6.8,244,713,25,38
F2-41,F2,143.6,68,6.8,709,595,34,32
F1-30,F1,20.6,719,71.9,35,614,200,141
F1-31,F1,69.6,34,3.4,742,621,10,24
F2-42,F2,97.5,49,4.9,256,679,17,30
F1-32,F1,70.5,44,4.4,40,718,18,28
F2-43,F2,120.3,46,4.6,274,652,20,30
F2-44,F2,127.4,65,6.5,276,666,28,32
F2-45,F2,143.6,134,13.4,304,595,96,64
F1-34,F1,67.2,54,5.4,326,678,25,27
F2-46,F2,130.2,90,9.0,79,710,38,31
F2-47,F2,135.7,58,5.8,401,558,42,37
FV-03,FV,88.0,53,5.3,127,701,11,30
F2-48,F2,143.1,149,14.9,444,518,79,65
F2-49,F2,146.3,31,3.1,524,501,25,17
F2-52,F2,128.8,346,34.6,224,223,168,161
F2-53,F2,132.8,31,3.1,730,232,17,19
F2-54,F2,144.0,91,9.1,462,243,79,57
F2-55,F2,108.7,120,12.0,642,252,62,54
F2-57,F2,96.7,40,4.0,419,319,13,18
F2-58,F2,147.0,114,11.4,138,320,85,55
FV-04,FV,90.6,89,8.9,782,372,3,54
F2-59,F2,158.1,427,42.7,313,377,236,124
F2-60,F2,139.8,75,7.5,43,397,51,45
F2-61,F2,145.2,208,20.8,83,400,185,127
FV-05,FV,93.4,126,12.6,775,430,10,101
FV-06,FV,93.5,254,25.4,0,443,82,130
F2-62,F2,111.1,115,11.5,259,496,33,49
F1-36,F1,56.5,53,5.3,442,513,24,35
F2-64,F2,145.8,38,3.8,724,529,30,23
F2-65,F2,95.4,97,9.7,770,532,9,66
F2-66,F2,147.0,226,22.6,129,540,95,77
F1-37,F1,59.7,61,6.1,68,550,38,63
F2-67,F2,115.0,183,18.3,209,571,71,120
F2-68,F2,96.0,154,15.4,758,599,15,121
F2-69,F2,118.1,39,3.9,147,607,13,24
F2-70,F2,137.3,139,13.9,3,636,71,65
F2-71,F2,118.7,41,4.1,145,705,19,28
F2-72,F2,157.7,115,11.5,700,721,60,36
F1-39,F1,15.2,123,12.3,206,731,62,26
