id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-03,F2,130.8,32,3.2,638,20,21,23
F2-06,F2,139.4,49,4.9,573,57,32,25
F1-01,F1,50.8,51,5.1,579,100,32,34
F2-08,F2,152.0,70,7.0,515,111,44,25
F2-10,F2,150.8,50,5.0,474,137,38,23
F2-12,F2,127.3,32,3.2,524,155,15,19
F2-13,F2,148.3,37,3.7,441,163,26,17
F2-18,F2,148.3,85,8.5,338,202,66,40
F2-19,F2,143.6,56,5.6,275,252,42,29
F2-20,F2,159.8,44,4.4,242,281,32,14
F1-02,F1,76.7,59,5.9,287,288,16,43
F2-22,F2,144.7,65,6.5,156,315,50,36
F1-03,F1,49.6,111,11.1,521,24,61,73
F2-25,F2,158.1,98,9.8,455,16,74,32
F1-04,F1,80.1,215,21.5,754,25,43,148
F2-26,F2,153.4,32,3.2,0,32,23,11
F2-27,F2,146.9,599,59.9,136,49,319,208
F2-28,F2,115.3,727,72.7,504,103,228,291
FV-02,FV,90.6,298,29.8,792,177,6,222
F2-29,F2,147.5,35,3.5,738,217,20,15
F2-30,F2,144.4,82,8.2,482,227,67,47
F2-32,F2,130.9,62,6.2,422,297,27,27
F2-33,F2,141.9,61,6.1,379,318,42,32
F2-34,F2,141.2,36,3.6,399,339,18,18
F2-35,F2,149.7,45,4.5,292,349,33,22
F2-36,F2,147.4,35,3.5,0,326,27,18
F2-37,F2,157.2,78,7.8,35,296,63,29
F2-38,F2,160.9,37,3.7,82,279,30,13
F2-39,F2,143.0,34,3.4,61,292,20,18
F2-40,F2,126.8,246,24.6,675,367,95,124
F2-41,F2,129.6,192,19.2,0,381,94,98
F2-42,F2,146.2,346,34.6,0,393,262,169
FV-03,FV,92.9,163,16.3,786,400,9,114
F2-43,F2,148.5,63,6.3,429,408,51,30
F2-45,F2,155.6,80,8.0,325,438,43,25
F2-48,F2,149.0,208,20.8,217,485,72,63
F2-49,F2,154.5,46,4.6,188,551,36,18
F2-50,F2,154.0,30,3.0,184,572,21,13
F2-51,F2,146.9,77,7.7,122,575,56,36
F1-09,F1,50.2,76,7.6,244,582,46,56
F2-52,F2,136.9,67,6.7,145,585,38,37
F2-53,F2,147.8,238,23.8,0,597,124,98
F2-54,F2,123.2,45,4.5,136,623,18,28
F2-55,F2,144.2,91,9.1,73,644,62,44
F2-57,F2,115.8,233,23.3,133,654,58,72
F2-58,F2,122.1,51,5.1,290,659,22,27
FV-04,FV,92.1,67,6.7,271,678,21,33
F2-61,F2,103.9,50,5.0,224,697,16,30
F1-13,F1,75.9,31,3.1,243,699,7,24
F1-14,F1,39.9,33,3.3,264,707,22,18
F1-16,F1,23.3,39,3.9,214,725,21,17
F1-18,F1,55.8,48,4.8,396,725,20,25
F1-19,F1,15.8,40,4.0,207,738,23,14
F1-20,F1,16.3,49,4.9,385,748,28,16
F2-65,F2,142.9,116,11.6,307,594,84,59
F2-66,F2,106.8,35,3.5,334,672,16,23
F1-22,F1,41.5,47,4.7,188,678,27,22
F1-23,F1,64.0,66,6.6,361,683,25,35
F2-67,F2,138.5,78,7.8,85,701,37,35
F2-68,F2,139.3,86,8.6,210,620,58,55
F1-28,F1,71.1,49,4.9,54,688,23,22
F1-30,F1,47.5,55,5.5,37,712,21,24
FV-05,FV,91.8,85,8.5,438,593,20,55
F2-70,F2,156.0,44,4.4,454,621,23,18
F1-33,F1,22.2,92,9.2,483,651,52,26
F2-71,F2,141.4,82,8.2,608,687,46,37
F1-34,F1,23.7,52,5.2,630,712,35,18
F1-37,F1,27.6,39,3.9,670,687,27,17
F2-74,F2,143.8,36,3.6,703,686,25,20
F1-38,F1,44.7,34,3.4,712,706,17,17
F1-39,F1,31.7,37,3.7,466,739,20,14
F2-75,F2,115.2,32,3.2,485,555,11,20
F2-77,F2,139.5,33,3.3,742,657,25,20
F1-42,F1,32.7,33,3.3,730,678,18,16
F2-78,F2,96.3,46,4.6,462,709,14,28
F1-43,F1,24.4,48,4.8,456,531,29,25
F2-80,F2,162.6,105,10.5,459,668,58,34
F1-47,F1,82.7,66,6.6,429,685,17,35
F2-81,F2,111.5,98,9.8,424,698,37,50
F2-82,F2,157.8,69,6.9,477,705,55,24
F2-83,F2,142.5,63,6.3,500,496,46,37
F2-84,F2,95.9,156,15.6,770,578,14,119
F1-49,F1,68.8,30,3.0,749,608,11,23
F2-86,F2,148.1,54,5.4,581,451,39,25
F2-88,F2,156.7,51,5.1,644,421,37,17
F1-50,F1,52.1,238,23.8,369,432,97,98
F1-52,F1,82.0,100,10.0,663,503,35,54
FV-08,FV,94.7,86,8.6,782,515,7,62
F2-89,F2,147.3,37,3.7,733,524,28,19
F1-53,F1,59.8,52,5.2,69,547,25,42
F2-90,F2,139.4,79,7.9,395,546,60,46
F1-54,F1,64.0,55,5.5,724,550,19,37
F2-91,F2,157.6,177,17.7,556,556,124,64
F1-55,F1,61.9,37,3.7,493,580,16,26
F1-56,F1,53.6,88,8.8,572,699,35,55
F2-92,F2,98.6,49,4.9,762,707,9,41
