id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,110.0,40,4.0,352,0,15,22
F2-02,F2,144.6,137,13.7,404,30,97,59
FV-01,FV,87.6,110,11.0,796,47,7,74
F2-03,F2,111.6,120,12.0,230,83,38,89
F2-04,F2,145.9,99,9.9,312,103,69,47
F2-05,F2,139.6,512,51.2,262,121,295,274
F2-06,F2,145.2,460,46.0,449,120,283,187
FV-03,FV,88.9,185,18.5,800,126,5,123
F2-07,F2,121.3,158,15.8,472,147,66,106
F1-01,F1,54.5,77,7.7,241,187,46,59
F2-09,F2,135.1,37,3.7,309,189,22,15
F2-10,F2,146.1,169,16.9,83,195,150,97
FV-04,FV,90.4,164,16.4,802,250,3,119
F2-12,F2,151.7,342,34.2,582,254,134,106
F2-13,F2,152.3,106,10.6,182,299,79,42
F2-14,F2,148.6,149,14.9,7,300,75,47
F2-15,F2,137.0,157,15.7,345,320,87,86
F2-16,F2,144.0,97,9.7,116,339,65,44
F2-17,F2,144.8,429,42.9,355,365,240,189
F2-18,F2,164.4,44,4.4,312,369,32,13
FV-05,FV,92.1,83,8.3,799,383,5,69
F2-19,F2,134.8,134,13.4,0,402,76,81
F2-21,F2,128.3,31,3.1,338,439,18,21
F1-02,F1,61.7,31,3.1,11,486,12,22
F2-22,F2,104.3,75,7.5,26,528,25,49
F1-04,F1,60.0,81,8.1,40,580,33,56
F2-23,F2,145.2,277,27.7,52,415,196,135
F2-24,F2,152.8,77,7.7,610,448,70,39
FV-06,FV,93.4,211,21.1,789,453,12,161
F2-25,F2,98.3,346,34.6,646,474,125,144
F2-27,F2,149.8,35,3.5,297,484,18,16
F2-28,F2,163.0,44,4.4,260,509,27,15
F2-29,F2,150.7,108,10.8,195,524,67,48
F2-30,F2,121.8,54,5.4,241,530,27,39
F2-31,F2,149.5,31,3.1,196,568,20,15
F2-32,F2,152.0,69,6.9,155,584,47,28
F1-05,F1,65.5,40,4.0,212,592,15,29
F2-33,F2,135.9,255,25.5,55,599,144,123
F2-34,F2,155.3,252,25.2,0,617,142,76
F1-07,F1,49.6,41,4.1,237,637,26,30
F2-35,F2,130.8,131,13.1,187,659,62,75
F2-36,F2,124.9,178,17.8,162,735,61,59
F1-08,F1,70.5,55,5.5,218,734,19,42
F1-09,F1,58.2,126,12.6,146,717,40,47
F2-39,F2,147.4,31,3.1,151,729,17,15
F2-40,F2,139.4,31,3.1,129,737,21,18
F2-41,F2,103.3,218,21.8,98,693,47,91
F1-12,F1,31.7,230,23.0,232,719,77,64
F2-42,F2,96.9,53,5.3,235,713,20,30
F1-14,F1,16.9,77,7.7,20,731,42,26
F1-15,F1,38.6,37,3.7,0,733,20,13
F2-43,F2,161.9,37,3.7,63,744,23,12
FV-09,FV,89.8,47,4.7,5,755,17,32
F2-44,F2,116.2,35,3.5,56,757,13,22
F2-45,F2,122.1,49,4.9,257,683,23,32
F1-16,F1,69.3,36,3.6,270,698,18,20
F1-17,F1,21.3,44,4.4,365,700,27,17
F2-46,F2,132.0,39,3.9,372,718,21,26
F1-18,F1,59.3,89,8.9,341,728,32,37
F1-21,F1,21.0,84,8.4,384,762,46,35
F2-47,F2,125.7,40,4.0,342,766,17,24
F1-22,F1,24.1,36,3.6,366,787,21,13
F2-48,F2,146.1,45,4.5,311,661,32,21
F2-49,F2,133.3,82,8.2,393,660,49,55
F2-50,F2,125.0,92,9.2,310,759,38,41
F2-51,F2,132.1,66,6.6,428,620,33,39
F2-53,F2,141.4,118,11.8,365,579,87,61
F2-54,F2,97.7,125,12.5,443,611,36,72
F1-23,F1,62.0,34,3.4,487,614,13,24
F1-24,F1,60.0,39,3.9,506,650,16,26
F1-26,F1,49.1,145,14.5,476,691,41,46
F2-55,F2,140.9,141,14.1,542,717,51,40
F2-56,F2,163.4,97,9.7,486,738,55,26
F1-30,F1,33.1,38,3.8,458,781,20,16
FV-10,FV,94.1,53,5.3,478,575,12,32
F2-57,F2,117.5,31,3.1,455,756,13,24
F1-32,F1,32.8,75,7.5,450,728,35,27
F2-58,F2,122.7,44,4.4,434,744,22,31
F1-33,F1,82.8,51,5.1,416,725,16,37
F2-59,F2,147.3,56,5.6,528,509,42,28
F2-60,F2,138.4,49,4.9,481,544,36,30
F2-61,F2,156.5,34,3.4,0,570,25,13
F1-34,F1,70.4,116,11.6,728,583,37,86
F2-62,F2,153.1,76,7.6,586,602,59,32
F2-63,F2,95.5,101,10.1,784,615,7,69
F2-64,F2,149.1,81,8.1,522,634,63,40
F2-65,F2,147.8,469,46.9,499,723,136,77
F2-66,F2,150.3,144,14.4,706,743,73,54
F2-67,F2,109.3,38,3.8,685,778,14,22
