id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,161.4,404,40.4,0,0,214,118
F2-02,F2,143.6,226,22.6,290,0,156,117
F2-03,F2,115.4,585,58.5,342,0,138,253
F2-04,F2,132.6,233,23.3,524,0,127,125
F1-01,F1,76.4,217,21.7,830,3,47,159
F2-05,F2,142.3,153,15.3,73,61,58,48
F2-06,F2,133.6,134,13.4,783,78,60,68
F2-11,F2,145.5,72,7.2,685,195,51,37
F2-12,F2,137.6,229,22.9,539,232,145,126
F2-13,F2,139.1,106,10.6,540,279,71,63
F1-02,F1,23.8,513,51.3,471,126,249,152
F2-17,F2,137.8,188,18.8,352,161,118,111
F2-19,F2,135.8,162,16.2,232,272,106,103
F2-20,F2,124.5,32,3.2,332,275,18,24
F2-21,F2,139.4,52,5.2,301,300,31,33
F2-22,F2,127.5,112,11.2,269,326,52,70
F2-23,F2,117.1,38,3.8,289,349,19,34
F1-03,F1,40.9,67,6.7,230,376,39,36
F2-24,F2,117.9,37,3.7,276,384,14,24
F2-25,F2,159.0,39,3.9,177,366,30,16
F1-04,F1,56.2,119,11.9,113,333,55,74
F2-26,F2,140.6,72,7.2,0,131,47,39
F1-05,F1,49.5,90,9.0,50,131,59,70
F2-27,F2,141.6,131,13.1,163,136,99,78
F1-06,F1,80.0,103,10.3,874,163,17,77
F2-29,F2,142.7,232,23.2,0,214,162,124
F2-30,F2,144.8,923,92.3,465,261,440,381
F1-08,F1,51.2,60,6.0,91,293,30,39
F2-31,F2,159.7,37,3.7,334,344,25,14
F1-09,F1,84.6,162,16.2,903,344,12,108
F2-33,F2,138.8,102,10.2,463,364,49,45
F2-34,F2,140.1,263,26.3,0,406,127,114
F2-35,F2,142.3,1421,142.1,0,432,432,368
F2-36,F2,111.5,99,9.9,227,443,29,59
F2-37,F2,128.6,82,8.2,742,449,49,67
FV-01,FV,86.0,76,7.6,913,453,6,51
FV-02,FV,88.4,124,12.4,911,505,11,94
F2-38,F2,139.2,583,58.3,529,530,265,270
F1-11,F1,33.2,67,6.7,327,557,44,28
F2-39,F2,95.7,313,31.3,796,568,105,179
F1-12,F1,54.1,773,77.3,313,592,215,208
FV-03,FV,91.0,246,24.6,915,602,7,179
F1-13,F1,62.9,130,13.0,874,720,44,80
F2-40,F2,139.4,81,8.1,253,750,54,50
F2-41,F2,140.4,73,7.3,763,756,49,44
