id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,63.7,366,36.6,16,0,89,111
F2-01,F2,157.0,1991,199.1,15,0,643,361
F1-02,F1,80.0,292,29.2,873,32,68,343
F2-02,F2,140.6,32,3.2,556,47,36,26
F2-04,F2,151.3,185,18.5,537,71,150,87
F2-05,F2,142.2,41,4.1,683,105,49,37
F1-03,F1,37.2,52,5.2,678,174,61,44
F1-04,F1,78.8,38,3.8,779,352,12,38
F1-05,F1,82.1,298,29.8,947,409,44,297
FV-01,FV,88.9,148,14.8,15,485,36,117
F2-12,F2,105.0,48,4.8,574,486,20,55
F1-06,F1,70.9,306,30.6,16,361,50,145
F2-16,F2,159.3,72,7.2,179,533,56,33
F1-07,F1,46.8,50,5.0,584,575,39,49
F1-08,F1,73.8,58,5.8,446,604,19,54
F1-11,F1,16.2,39,3.9,312,666,55,16
F2-21,F2,120.6,50,5.0,15,674,27,39
F2-24,F2,160.8,262,26.2,79,690,73,49
F2-25,F2,127.7,41,4.1,932,702,22,26
F1-15,F1,40.1,45,4.5,168,718,31,22
FV-04,FV,90.0,48,4.8,999,720,1,48
F2-27,F2,109.0,56,5.6,644,730,24,41
F1-16,F1,67.7,32,3.2,16,741,15,14
F1-17,F1,81.2,433,43.3,937,33,49,194
FV-05,FV,88.6,40,4.0,16,57,3,39
F2-28,F2,146.0,547,54.7,117,89,316,235
F2-29,F2,124.5,164,16.4,578,115,62,86
F1-20,F1,63.2,156,15.6,958,237,42,94
F2-30,F2,102.6,225,22.5,17,252,58,106
F2-31,F2,126.6,52,5.2,505,267,25,30
F1-23,F1,40.8,78,7.8,679,630,32,30
F2-34,F2,97.3,55,5.5,598,719,16,48
F1-26,F1,68.4,36,3.6,319,777,15,23
