id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,122.8,100,10.0,416,5,43,51
F2-02,F2,149.9,33,3.3,382,10,27,16
F2-03,F2,145.4,186,18.6,709,16,94,72
F1-01,F1,27.9,125,12.5,91,25,48,30
F1-02,F1,41.4,218,21.8,599,29,110,99
F2-04,F2,150.7,60,6.0,561,44,37,21
F2-05,F2,153.4,229,22.9,830,44,170,91
FV-01,FV,89.0,31,3.1,62,59,7,23
F2-06,F2,146.5,146,14.6,450,65,110,76
F2-07,F2,112.0,114,11.4,315,111,39,86
F1-03,F1,76.3,457,45.7,682,110,138,212
F2-08,F2,126.3,64,6.4,656,119,38,46
F2-09,F2,128.5,35,3.5,624,157,27,34
F2-11,F2,123.6,148,14.8,568,191,68,96
F2-13,F2,125.2,43,4.3,585,216,25,36
F2-14,F2,140.8,43,4.3,542,299,22,23
F2-16,F2,138.7,111,11.1,518,313,43,41
F2-17,F2,137.9,60,6.0,720,323,35,31
F2-18,F2,162.4,230,23.0,378,345,139,58
F2-19,F2,134.9,90,9.0,489,355,38,39
F2-20,F2,148.2,40,4.0,672,366,27,18
F2-23,F2,148.6,32,3.2,599,156,24,15
F2-25,F2,146.0,33,3.3,549,187,21,14
F2-26,F2,149.5,42,4.2,516,201,32,19
F2-27,F2,145.4,54,5.4,587,271,38,27
F2-28,F2,143.1,77,7.7,732,315,56,41
F2-29,F2,152.7,43,4.3,791,302,27,14
F2-30,F2,149.4,32,3.2,818,273,26,16
F2-31,F2,153.0,31,3.1,821,248,20,11
F2-32,F2,152.4,41,4.1,216,121,24,15
F2-33,F2,152.0,56,5.6,775,139,45,25
F2-34,F2,149.9,62,6.2,364,160,63,42
F2-35,F2,149.8,376,37.6,860,187,137,93
F1-04,F1,17.6,129,12.9,291,214,89,53
F2-36,F2,150.0,107,10.7,390,231,105,63
FV-02,FV,90.2,36,3.6,0,262,2,37
F2-39,F2,144.4,239,23.9,84,267,170,109
F1-05,F1,59.2,124,12.4,339,301,57,78
F2-41,F2,142.9,195,19.5,204,330,122,83
F2-42,F2,155.0,184,18.4,874,350,126,64
F2-43,F2,160.8,39,3.9,536,362,42,15
F1-07,F1,82.6,56,5.6,0,369,6,50
F2-44,F2,138.6,208,20.8,54,408,129,100
F2-45,F2,153.1,216,21.6,692,426,152,78
F2-46,F2,148.3,51,5.1,621,390,36,22
F2-47,F2,144.5,37,3.7,319,424,29,20
F1-08,F1,80.6,125,12.5,0,434,16,90
F1-09,F1,55.0,347,34.7,473,436,134,147
F2-48,F2,157.1,257,25.7,105,461,187,106
F2-49,F2,140.9,55,5.5,831,460,35,32
F1-10,F1,79.8,105,10.5,830,493,23,64
F2-50,F2,153.8,96,9.6,917,518,83,43
F2-51,F2,141.7,67,6.7,608,526,45,34
F2-52,F2,135.5,104,10.4,817,558,55,43
F2-53,F2,141.9,57,5.7,809,568,28,24
F1-11,F1,56.3,129,12.9,905,569,63,92
F1-12,F1,18.9,275,27.5,552,575,114,93
F2-54,F2,136.2,39,3.9,520,576,28,28
F2-56,F2,140.2,78,7.8,447,614,53,43
F2-57,F2,152.5,72,7.2,403,657,43,30
F2-58,F2,105.7,61,6.1,470,704,20,31
F1-14,F1,47.3,140,14.0,481,718,51,55
F1-15,F1,66.2,38,3.8,531,740,16,21
F1-16,F1,62.1,59,5.9,491,749,23,30
F2-60,F2,155.0,32,3.2,546,763,24,11
F2-61,F2,149.2,52,5.2,518,770,27,19
F2-63,F2,145.5,34,3.4,551,778,19,14
F2-64,F2,109.8,60,6.0,571,725,17,42
F2-67,F2,126.3,67,6.7,439,740,34,36
F2-69,F2,116.9,53,5.3,573,760,21,20
F1-20,F1,16.1,67,6.7,590,772,48,20
F2-72,F2,108.8,96,9.6,604,735,40,49
F1-24,F1,84.8,51,5.1,702,744,13,23
F2-73,F2,161.3,192,19.2,712,744,59,48
F2-75,F2,139.7,33,3.3,712,728,18,20
F2-77,F2,144.1,92,9.2,691,701,32,27
F2-79,F2,164.0,73,7.3,555,651,44,20
F2-80,F2,101.4,36,3.6,609,665,9,25
F1-28,F1,33.9,106,10.6,656,669,42,34
F1-29,F1,51.2,58,5.8,619,674,24,28
F1-30,F1,17.5,46,4.6,715,699,36,12
F2-86,F2,164.5,30,3.0,911,716,20,8
F2-87,F2,142.1,56,5.6,936,722,25,25
F1-39,F1,59.0,91,9.1,958,739,30,35
F2-88,F2,126.2,100,10.0,942,662,41,59
F2-89,F2,141.6,44,4.4,816,674,26,25
F2-90,F2,154.3,36,3.6,865,648,25,13
F2-92,F2,154.9,35,3.5,902,633,20,10
F2-93,F2,157.4,63,6.3,765,582,43,18
F2-94,F2,146.8,34,3.4,704,617,26,17
F2-95,F2,146.1,528,52.8,0,664,146,116
