id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,68.2,84,8.4,268,17,23,38
F1-04,F1,64.7,30,3.0,274,51,10,19
F1-09,F1,37.0,54,5.4,295,88,45,32
F1-10,F1,41.3,32,3.2,328,97,23,20
F1-11,F1,36.9,32,3.2,352,115,26,18
F1-12,F1,40.3,36,3.6,341,118,22,20
F2-01,F2,147.1,228,22.8,309,135,106,82
F1-13,F1,40.0,71,7.1,384,159,45,46
F1-14,F1,51.1,83,8.3,415,209,45,60
F1-15,F1,52.6,78,7.8,430,208,47,61
F2-02,F2,133.1,37,3.7,282,222,28,30
F1-17,F1,43.3,78,7.8,283,260,51,47
F1-18,F1,44.0,36,3.6,460,270,23,26
F1-19,F1,60.5,44,4.4,485,279,19,30
F1-20,F1,54.3,393,39.3,483,297,123,175
F1-21,F1,41.2,169,16.9,335,307,101,82
F1-22,F1,52.0,44,4.4,517,327,28,35
F1-23,F1,59.5,53,5.3,549,369,25,41
F1-24,F1,29.8,60,6.0,439,390,43,26
F1-25,F1,33.9,47,4.7,483,416,38,27
F1-26,F1,34.7,171,17.1,522,443,106,74
F1-27,F1,39.0,102,10.2,597,476,40,32
F1-28,F1,69.5,59,5.9,638,495,20,38
F1-29,F1,47.4,303,30.3,624,518,113,117
F1-30,F1,39.4,64,6.4,662,535,47,38
F2-03,F2,118.6,35,3.5,775,643,17,28
F1-35,F1,44.5,33,3.3,748,653,26,25
F1-37,F1,37.0,78,7.8,765,690,44,36
F1-38,F1,40.9,68,6.8,777,708,46,43
F1-40,F1,61.3,48,4.8,811,756,20,29
F1-41,F1,35.4,39,3.9,841,777,25,23
F1-44,F1,36.3,62,6.2,543,691,41,32
F1-47,F1,30.7,57,5.7,603,729,45,27
F1-49,F1,24.2,225,22.5,647,753,77,47
F2-04,F2,109.7,70,7.0,131,762,17,38
F2-05,F2,163.4,90,9.0,725,775,42,25
F1-53,F1,42.5,41,4.1,288,783,19,17
F1-54,F1,21.9,36,3.6,263,787,26,13
F1-64,F1,34.9,44,4.4,422,629,29,21
F1-66,F1,30.3,31,3.1,380,603,21,13
F1-69,F1,47.9,197,19.7,288,514,91,91
F1-70,F1,19.6,62,6.2,47,676,39,21
FV-01,FV,87.7,59,5.9,284,480,25,33
F1-72,F1,25.8,34,3.4,261,535,24,13
F1-73,F1,46.9,44,4.4,286,548,27,30
F1-76,F1,44.7,64,6.4,239,437,41,37
F1-77,F1,26.9,100,10.0,183,494,64,33
F1-79,F1,31.7,33,3.3,211,420,25,16
F1-80,F1,19.2,66,6.6,140,445,46,23
F2-06,F2,127.0,55,5.5,309,446,30,39
F2-07,F2,127.9,32,3.2,341,414,22,27
F1-83,F1,46.7,43,4.3,115,422,22,19
F1-84,F1,64.0,113,11.3,108,427,31,40
F1-87,F1,54.4,31,3.1,89,402,18,18
F1-92,F1,28.7,582,58.2,736,3,255,151
F1-93,F1,81.8,74,7.4,715,5,20,50
F1-94,F1,23.3,43,4.3,414,13,33,15
F2-09,F2,136.8,237,23.7,380,28,131,106
F1-95,F1,27.4,39,3.9,528,58,25,14
F1-96,F1,51.8,96,9.6,571,81,40,42
F1-97,F1,29.4,173,17.3,14,120,111,61
F1-98,F1,31.8,186,18.6,639,133,113,69
F1-99,F1,66.7,204,20.4,886,162,69,154
F1-100,F1,21.2,48,4.8,161,202,36,15
F1-101,F1,33.5,591,59.1,759,206,241,168
F1-102,F1,30.7,276,27.6,461,213,219,128
F1-103,F1,28.0,37,3.7,4,351,26,14
F1-104,F1,34.9,67,6.7,704,355,40,30
F2-10,F2,105.2,67,6.7,884,361,20,53
F1-105,F1,29.1,107,10.7,752,391,88,50
F1-106,F1,30.9,195,19.5,870,452,130,86
F2-11,F2,107.7,112,11.2,899,506,31,82
F1-107,F1,61.3,104,10.4,200,538,61,63
F1-109,F1,29.5,157,15.7,894,649,106,63
F2-13,F2,157.7,100,10.0,756,766,49,34
