id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,113.0,87,8.7,9,0,35,42
F2-02,F2,153.9,39,3.9,170,0,31,14
F2-03,F2,146.2,69,6.9,387,0,41,33
F2-04,F2,161.5,259,25.9,49,5,118,47
F2-05,F2,140.1,511,51.1,400,7,208,189
F1-01,F1,17.6,34,3.4,185,25,23,17
FV-01,FV,89.3,462,46.2,771,25,16,334
F2-06,F2,144.5,755,75.5,12,26,372,256
F2-07,F2,151.7,126,12.6,609,50,120,67
F2-08,F2,154.2,82,8.2,0,52,60,30
F1-02,F1,25.6,333,33.3,543,130,167,130
F2-09,F2,149.9,376,37.6,94,161,280,169
F2-11,F2,146.3,56,5.6,488,185,44,30
F2-12,F2,143.8,35,3.5,460,215,27,20
F2-15,F2,127.4,67,6.7,392,266,27,27
F2-16,F2,145.1,33,3.3,364,286,25,17
F2-18,F2,141.6,62,6.2,254,310,39,33
F2-20,F2,162.8,46,4.6,401,314,29,10
F2-21,F2,115.7,32,3.2,358,327,11,19
F1-04,F1,75.7,77,7.7,248,254,23,53
F2-23,F2,151.1,30,3.0,626,258,14,15
F2-24,F2,146.0,169,16.9,478,278,121,85
F2-25,F2,151.2,928,92.8,385,346,351,214
F2-26,F2,143.1,46,4.6,24,350,31,26
FV-02,FV,92.1,109,10.9,778,360,5,77
F2-27,F2,145.0,253,25.3,33,367,188,131
FV-03,FV,93.0,57,5.7,775,438,5,51
FV-04,FV,94.9,229,22.9,761,494,15,166
F2-29,F2,100.0,33,3.3,752,680,7,25
F2-30,F2,103.2,50,5.0,743,706,13,35
F1-05,F1,29.6,40,4.0,561,739,23,13
F1-06,F1,33.9,116,11.6,523,695,62,50
FV-05,FV,89.2,58,5.8,573,702,26,25
F2-34,F2,164.4,54,5.4,387,743,30,14
F2-35,F2,119.4,34,3.4,722,654,19,25
F1-10,F1,52.2,82,8.2,635,689,29,37
F2-38,F2,95.5,45,4.5,433,698,14,31
F1-11,F1,57.0,36,3.6,535,715,16,23
F2-40,F2,96.1,57,5.7,629,638,19,41
F2-42,F2,155.7,218,21.8,392,670,100,53
F2-43,F2,136.7,81,8.1,289,706,40,38
F1-13,F1,38.5,35,3.5,259,710,29,22
F2-46,F2,145.1,32,3.2,653,622,19,15
F1-17,F1,19.4,49,4.9,227,701,31,16
F1-19,F1,59.8,44,4.4,205,697,18,25
FV-07,FV,86.1,42,4.2,182,701,12,30
F1-20,F1,59.5,54,5.4,170,718,22,25
F2-49,F2,136.4,72,7.2,214,631,47,43
F2-50,F2,118.6,78,7.8,238,639,27,42
F2-51,F2,151.9,503,50.3,71,662,105,82
F1-22,F1,39.4,32,3.2,51,730,20,16
F2-53,F2,157.4,42,4.2,271,624,32,15
F2-54,F2,116.5,35,3.5,169,641,12,22
F2-57,F2,140.5,54,5.4,182,610,41,31
F2-58,F2,139.8,32,3.2,324,586,22,20
F2-60,F2,147.9,54,5.4,347,561,38,25
F2-61,F2,142.5,65,6.5,28,639,48,36
F1-26,F1,65.0,405,40.5,0,451,110,210
F2-62,F2,131.2,166,16.6,205,458,60,58
F2-63,F2,155.3,396,39.6,87,507,146,119
F2-65,F2,159.2,824,82.4,278,558,240,157
F2-66,F2,146.2,81,8.1,541,564,57,36
F2-67,F2,138.3,49,4.9,408,570,28,29
F1-28,F1,44.7,66,6.6,376,667,42,33
