id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,21.7,92,9.2,569,2,55,30
F2-02,F2,162.1,35,3.5,538,6,27,10
F2-03,F2,138.9,65,6.5,615,27,45,41
F2-09,F2,149.4,147,14.7,436,133,100,59
F2-10,F2,147.5,35,3.5,409,192,26,17
F2-11,F2,145.2,59,5.9,350,216,45,31
F2-14,F2,149.0,127,12.7,220,265,90,52
F2-15,F2,148.3,127,12.7,130,318,87,56
F1-02,F1,45.8,60,6.0,542,67,34,38
F1-03,F1,53.5,49,4.9,585,116,24,32
FV-01,FV,86.1,387,38.7,537,150,116,172
F1-04,F1,61.3,89,8.9,504,16,37,48
F2-18,F2,156.0,44,4.4,469,29,34,15
F2-19,F2,139.3,88,8.8,412,44,56,42
F2-20,F2,152.4,41,4.1,381,87,27,15
F2-21,F2,145.2,75,7.5,328,103,53,37
F2-22,F2,142.9,30,3.0,307,140,20,15
F2-23,F2,151.5,38,3.8,666,297,30,18
FV-02,FV,88.5,35,3.5,799,57,2,27
F2-28,F2,109.2,116,11.6,230,81,39,92
FV-03,FV,88.2,184,18.4,799,85,6,141
F2-29,F2,151.6,143,14.3,649,105,99,57
F2-30,F2,151.1,30,3.0,39,113,22,14
F2-31,F2,151.9,50,5.0,0,127,38,20
F2-32,F2,126.6,34,3.4,518,151,17,24
F2-39,F2,138.1,74,7.4,404,320,38,27
F2-40,F2,125.7,110,11.0,351,343,52,63
F2-42,F2,145.3,43,4.3,212,414,38,28
F2-44,F2,145.6,37,3.7,157,456,31,23
F2-45,F2,144.0,94,9.4,92,478,64,47
F1-05,F1,74.4,245,24.5,0,446,78,137
F1-06,F1,75.6,101,10.1,251,166,36,80
F2-47,F2,144.4,315,31.5,22,189,221,153
FV-04,FV,90.6,47,4.7,803,234,3,40
F2-49,F2,143.8,108,10.8,458,249,78,58
FV-05,FV,92.0,344,34.4,792,275,13,269
F1-07,F1,72.9,121,12.1,269,310,38,80
F2-50,F2,128.8,31,3.1,602,329,19,24
F2-55,F2,148.4,56,5.6,497,393,43,25
F2-56,F2,148.0,70,7.0,431,428,48,34
F2-57,F2,96.5,47,4.7,401,467,14,34
F1-08,F1,63.8,50,5.0,386,471,20,35
F1-11,F1,55.9,52,5.2,435,533,26,38
F1-12,F1,51.3,69,6.9,453,572,36,36
F2-58,F2,136.2,59,5.9,401,582,38,36
F1-13,F1,63.2,47,4.7,491,621,20,38
F2-59,F2,145.7,32,3.2,363,626,21,15
F2-61,F2,155.0,62,6.2,513,652,47,23
F2-62,F2,158.1,108,10.8,314,460,69,31
F2-65,F2,147.7,126,12.6,209,513,73,47
F2-66,F2,130.5,74,7.4,233,530,35,40
F2-67,F2,133.5,33,3.3,483,557,19,24
FV-07,FV,92.7,71,7.1,190,560,18,41
F2-68,F2,147.9,129,12.9,95,590,94,59
F1-14,F1,53.5,104,10.4,212,595,50,72
F2-70,F2,149.8,65,6.5,136,608,44,27
F2-71,F2,142.9,34,3.4,561,632,27,20
F1-16,F1,38.3,374,37.4,97,645,128,124
F2-73,F2,153.0,85,8.5,22,646,67,36
F2-74,F2,142.6,43,4.3,221,657,28,23
F2-76,F2,150.9,32,3.2,0,682,19,10
F2-77,F2,125.2,36,3.6,189,689,17,25
F2-78,F2,144.6,58,5.8,191,768,24,27
F2-79,F2,144.6,30,3.0,511,535,20,14
F1-19,F1,60.4,42,4.2,58,610,20,35
F2-80,F2,148.0,31,3.1,589,617,24,15
F1-20,F1,82.5,153,15.3,231,727,38,62
F2-85,F2,106.9,79,7.9,267,691,21,62
F1-25,F1,56.1,32,3.2,33,569,14,21
F2-88,F2,125.9,45,4.5,257,683,27,32
F1-28,F1,21.1,36,3.6,365,786,26,14
F2-92,F2,161.1,53,5.3,347,734,22,19
F1-30,F1,36.0,98,9.8,385,758,46,42
F1-31,F1,17.3,53,5.3,419,727,36,18
F1-32,F1,18.7,83,8.3,412,746,38,32
F2-93,F2,115.4,37,3.7,455,755,14,27
F2-94,F2,144.6,38,3.8,459,781,17,14
F2-95,F2,130.7,42,4.2,421,669,20,26
F1-33,F1,44.0,133,13.3,444,668,59,50
F1-34,F1,20.1,62,6.2,304,711,32,27
F2-97,F2,154.6,146,14.6,543,716,70,48
F1-35,F1,34.6,36,3.6,486,720,28,19
F2-98,F2,97.4,62,6.2,461,724,24,30
F2-99,F2,118.1,36,3.6,514,738,17,16
F2-100,F2,118.2,93,9.3,470,746,43,54
F2-101,F2,132.3,77,7.7,428,619,36,44
F2-102,F2,140.9,83,8.3,22,401,57,44
F2-103,F2,98.6,419,41.9,674,404,98,191
F2-105,F2,148.9,104,10.4,556,463,93,56
FV-08,FV,94.7,169,16.9,786,545,10,110
F2-106,F2,112.0,907,90.7,642,583,147,215
F2-107,F2,153.4,77,7.7,287,660,57,31
F2-108,F2,146.2,157,15.7,4,693,89,59
F2-109,F2,119.3,75,7.5,89,723,38,44
F2-110,F2,153.6,395,39.5,507,726,134,74
F2-111,F2,144.8,197,19.7,108,740,76,60
