id,family,angle_deg,length_px,length_cm,x,y,width,height
FV-01,FV,91.4,167,16.7,130,0,19,104
F2-01,F2,102.6,251,25.1,215,0,43,94
F2-02,F2,140.1,39,3.9,482,0,24,13
FV-02,FV,85.1,189,18.9,821,0,12,118
FV-03,FV,89.2,30,3.0,829,0,4,26
F1-01,F1,21.6,128,12.8,512,14,43,43
FV-04,FV,89.1,111,11.1,702,21,4,86
F1-02,F1,72.0,40,4.0,99,32,11,27
FV-05,FV,88.8,75,7.5,514,52,20,36
F1-03,F1,69.5,58,5.8,111,65,20,47
F1-04,F1,17.8,104,10.4,546,73,45,23
F2-05,F2,161.2,46,4.6,592,74,31,15
F1-05,F1,45.5,138,13.8,250,76,67,58
F1-06,F1,57.3,103,10.3,440,77,44,40
F1-07,F1,35.0,165,16.5,512,82,59,61
F2-06,F2,97.9,35,3.5,800,87,9,26
F2-08,F2,102.1,100,10.0,886,94,28,54
F2-10,F2,157.1,174,17.4,807,108,75,58
F1-09,F1,70.3,126,12.6,197,112,52,55
FV-06,FV,88.1,98,9.8,697,115,20,46
F2-12,F2,117.0,155,15.5,60,117,42,57
F2-13,F2,102.7,54,5.4,494,118,16,37
F2-14,F2,153.4,128,12.8,767,122,54,27
F1-10,F1,74.3,58,5.8,470,126,13,33
F1-12,F1,49.8,55,5.5,344,133,26,24
F2-17,F2,137.8,81,8.1,126,134,34,24
F2-18,F2,128.5,231,23.1,767,134,70,87
F1-13,F1,17.2,34,3.4,161,137,27,11
F1-14,F1,63.4,30,3.0,309,139,15,20
F2-19,F2,116.2,248,24.8,81,141,59,75
F1-15,F1,30.1,251,25.1,524,142,80,50
F1-16,F1,76.5,43,4.3,14,147,11,26
F2-20,F2,137.4,157,15.7,228,147,80,72
F2-21,F2,148.5,36,3.6,853,148,22,15
F2-22,F2,131.2,168,16.8,885,148,57,61
F1-17,F1,56.5,147,14.7,136,153,42,45
F1-18,F1,74.9,52,5.2,799,153,18,33
F2-23,F2,109.5,127,12.7,323,154,35,49
F2-24,F2,156.6,265,26.5,349,162,90,66
F2-25,F2,129.4,205,20.5,573,170,74,77
F1-21,F1,25.5,112,11.2,652,173,53,40
FV-08,FV,86.5,31,3.1,211,178,7,27
FV-09,FV,86.2,159,15.9,63,182,29,82
FV-10,FV,93.3,82,8.2,633,191,9,52
F2-27,F2,144.0,62,6.2,94,192,41,31
F2-28,F2,137.6,90,9.0,273,200,49,42
F1-25,F1,29.3,142,14.2,833,200,64,61
F1-26,F1,66.2,78,7.8,524,202,19,44
F2-29,F2,117.2,49,4.9,309,204,19,37
F2-30,F2,110.3,75,7.5,195,206,32,40
F1-28,F1,31.4,407,40.7,650,219,94,81
F1-29,F1,78.3,76,7.6,979,220,21,52
F1-30,F1,23.1,95,9.5,775,222,50,32
F1-31,F1,30.3,124,12.4,907,226,54,39
F1-32,F1,30.2,152,15.2,314,229,75,63
F2-32,F2,134.3,59,5.9,407,229,27,26
F1-33,F1,19.0,297,29.7,554,229,90,70
F1-34,F1,70.1,264,26.4,518,231,60,86
FV-11,FV,90.4,137,13.7,966,233,5,114
F2-33,F2,106.4,42,4.2,206,234,19,28
F2-34,F2,138.2,32,3.2,242,245,27,25
F2-35,F2,112.5,31,3.1,297,244,11,26
F2-36,F2,136.0,107,10.7,118,247,80,72
F1-35,F1,65.6,44,4.4,391,246,16,22
FV-12,FV,92.3,114,11.4,824,253,15,75
F1-36,F1,49.5,106,10.6,6,255,49,35
FV-13,FV,89.3,432,43.2,41,254,33,255
F1-37,F1,62.1,139,13.9,692,257,41,64
FV-14,FV,90.7,80,8.0,892,262,2,55
F2-39,F2,131.9,59,5.9,274,268,39,45
F2-40,F2,102.7,32,3.2,403,269,18,33
FV-15,FV,92.6,60,6.0,757,271,8,46
F2-42,F2,147.6,111,11.1,330,281,62,49
F1-38,F1,42.0,109,10.9,625,281,46,30
F2-43,F2,142.8,113,11.3,144,285,80,62
F1-41,F1,49.2,84,8.4,0,299,37,39
FV-16,FV,89.3,34,3.4,78,301,4,31
F1-42,F1,84.7,99,9.9,423,307,29,42
F2-46,F2,96.7,56,5.6,987,309,13,37
F2-47,F2,135.5,60,6.0,252,315,24,26
F2-49,F2,144.2,35,3.5,89,319,28,19
F2-50,F2,150.3,45,4.5,217,324,34,19
F2-51,F2,127.8,180,18.0,345,324,77,79
F2-52,F2,142.9,87,8.7,266,330,63,44
F2-53,F2,121.7,113,11.3,168,332,48,59
F2-54,F2,118.2,39,3.9,247,343,16,29
F2-55,F2,138.7,73,7.3,5,345,51,44
F2-56,F2,132.6,40,4.0,119,347,24,25
F1-46,F1,78.3,32,3.2,590,350,11,21
F1-47,F1,63.5,39,3.9,85,353,14,17
F2-58,F2,95.9,336,33.6,442,354,88,164
F2-59,F2,124.5,44,4.4,98,373,21,24
F2-60,F2,127.8,85,8.5,200,375,49,54
F1-48,F1,56.4,63,6.3,267,375,27,42
F1-49,F1,54.0,43,4.3,17,379,22,27
F2-62,F2,134.3,77,7.7,292,385,52,49
F1-50,F1,69.4,113,11.3,351,386,43,60
F1-51,F1,79.1,38,3.8,627,386,18,33
F2-64,F2,148.2,94,9.4,120,395,44,37
F2-65,F2,137.0,31,3.1,75,396,22,20
F2-66,F2,143.6,60,6.0,395,396,44,31
F1-52,F1,58.9,37,3.7,185,399,14,15
F2-67,F2,124.4,144,14.4,0,406,49,56
F1-53,F1,44.6,219,21.9,915,406,71,50
F1-54,F1,22.1,61,6.1,873,409,54,25
F1-55,F1,16.7,469,46.9,745,420,163,65
FV-20,FV,86.6,204,20.4,405,425,32,100
F2-70,F2,147.3,110,11.0,75,433,54,42
F1-56,F1,66.1,82,8.2,177,441,28,31
F2-71,F2,110.3,87,8.7,282,442,23,50
F2-72,F2,122.2,39,3.9,461,445,23,27
F1-57,F1,55.1,394,39.4,203,447,79,89
F2-73,F2,139.9,63,6.3,319,446,38,31
F2-74,F2,106.8,127,12.7,484,455,46,47
F1-59,F1,74.1,145,14.5,30,457,36,61
F1-60,F1,67.0,34,3.4,314,458,15,36
F1-61,F1,27.5,65,6.5,912,464,30,19
F2-77,F2,134.3,43,4.3,377,468,25,28
F2-78,F2,140.9,95,9.5,98,471,60,47
F2-79,F2,143.3,30,3.0,81,475,16,14
F2-80,F2,106.9,204,20.4,122,474,49,80
F2-83,F2,142.7,184,18.4,160,484,62,58
F1-63,F1,17.0,58,5.8,951,487,37,12
F2-84,F2,137.3,191,19.1,278,488,49,48
F1-64,F1,24.0,95,9.5,10,491,44,29
F1-65,F1,16.7,128,12.8,325,496,44,35
F1-66,F1,30.1,128,12.8,365,507,50,39
F2-86,F2,121.3,35,3.5,640,506,24,26
F2-87,F2,98.9,60,6.0,351,515,13,38
F1-69,F1,78.4,159,15.9,406,527,34,48
F1-70,F1,27.5,60,6.0,515,531,47,24
F2-88,F2,152.1,64,6.4,168,535,34,28
FV-21,FV,94.0,69,6.9,467,548,27,48
F1-72,F1,77.5,62,6.2,71,588,12,47
F2-91,F2,119.0,42,4.2,553,588,29,31
F1-75,F1,15.7,52,5.2,835,608,37,19
F1-76,F1,45.1,45,4.5,618,618,21,23
F2-94,F2,98.0,77,7.7,667,623,23,41
F1-77,F1,38.6,56,5.6,809,625,39,23
F1-78,F1,45.7,69,6.9,198,627,40,34
F2-95,F2,149.6,37,3.7,567,633,39,24
F2-96,F2,154.1,84,8.4,95,638,57,34
F2-97,F2,151.1,46,4.6,349,647,33,17
F2-98,F2,163.7,34,3.4,535,650,24,11
F2-99,F2,159.9,182,18.2,864,662,74,46
F1-83,F1,17.7,105,10.5,723,675,53,26
F2-102,F2,124.4,69,6.9,266,719,31,33
F1-86,F1,18.1,143,14.3,318,727,58,28
F2-103,F2,108.2,245,24.5,0,731,69,60
