id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,160.9,34,3.4,44,0,23,10
F1-01,F1,47.0,166,16.6,73,0,59,47
F1-02,F1,24.3,311,31.1,783,4,138,72
F2-02,F2,143.4,33,3.3,900,6,17,16
F2-03,F2,99.7,155,15.5,0,9,43,55
F2-04,F2,134.6,81,8.1,358,10,37,35
F2-05,F2,138.3,110,11.0,37,15,41,36
F1-04,F1,60.0,37,3.7,34,21,17,21
F1-05,F1,38.3,136,13.6,240,31,71,44
F2-06,F2,140.5,32,3.2,223,32,16,14
F1-07,F1,43.0,31,3.1,154,35,22,15
F1-09,F1,64.7,178,17.8,531,39,58,71
F2-07,F2,125.6,362,36.2,29,40,90,78
F1-10,F1,16.2,141,14.1,147,41,70,41
F1-11,F1,26.9,160,16.0,697,46,80,46
F1-12,F1,28.4,54,5.4,203,50,29,16
F1-14,F1,26.4,70,7.0,917,53,51,32
F1-15,F1,19.4,316,31.6,746,56,124,69
F2-09,F2,160.0,69,6.9,218,59,51,19
F2-10,F2,140.7,60,6.0,461,60,36,26
F2-11,F2,147.9,67,6.7,609,67,45,30
F1-17,F1,21.8,82,8.2,196,76,52,34
F1-18,F1,71.4,58,5.8,967,76,15,32
F1-19,F1,22.8,68,6.8,0,79,37,36
F2-12,F2,117.2,78,7.8,425,86,35,39
F2-13,F2,147.2,137,13.7,55,93,68,42
F1-22,F1,71.8,53,5.3,287,93,17,36
F2-14,F2,126.0,46,4.6,262,101,23,21
F1-24,F1,52.8,81,8.1,459,100,43,43
F2-15,F2,152.0,58,5.8,379,102,45,25
F1-25,F1,78.0,45,4.5,814,108,8,29
F1-26,F1,80.3,124,12.4,979,109,17,64
F2-16,F2,132.4,152,15.2,500,110,62,58
F2-17,F2,159.0,79,7.9,720,115,61,25
F1-27,F1,83.8,92,9.2,782,117,14,74
F2-19,F2,130.7,52,5.2,295,119,35,26
F1-28,F1,52.3,101,10.1,586,123,51,60
FV-02,FV,92.9,62,6.2,231,124,13,32
F2-20,F2,108.7,73,7.3,264,129,32,47
F1-30,F1,29.5,238,23.8,115,131,95,63
F2-21,F2,125.4,187,18.7,526,130,55,66
F2-22,F2,153.0,45,4.5,18,132,34,18
F2-23,F2,105.1,394,39.4,42,137,95,97
F2-24,F2,104.1,132,13.2,440,137,45,64
F2-25,F2,144.8,35,3.5,337,139,25,18
F1-31,F1,37.5,221,22.1,667,139,77,66
F1-32,F1,83.0,102,10.2,820,138,12,76
F2-26,F2,139.4,36,3.6,0,153,21,22
F2-27,F2,153.3,44,4.4,296,156,36,17
F2-28,F2,122.8,39,3.9,210,160,16,22
F2-29,F2,149.3,350,35.0,254,163,146,104
F2-30,F2,154.2,36,3.6,638,163,26,13
F2-31,F2,112.2,78,7.8,213,172,33,47
F1-36,F1,69.3,247,24.7,563,177,64,89
F2-32,F2,129.5,50,5.0,738,181,32,30
FV-03,FV,89.9,45,4.5,339,184,10,27
F1-39,F1,60.1,441,44.1,634,192,102,111
FV-04,FV,94.0,31,3.1,764,193,12,18
F2-35,F2,129.3,340,34.0,118,205,109,110
F2-36,F2,149.8,86,8.6,362,208,63,36
F2-37,F2,110.2,87,8.7,500,210,24,42
F2-38,F2,162.0,43,4.3,699,211,23,13
F1-43,F1,51.9,57,5.7,473,213,26,20
F2-39,F2,139.4,138,13.8,731,215,59,47
FV-05,FV,85.1,197,19.7,829,215,14,138
F2-40,F2,136.1,30,3.0,779,216,17,18
F2-41,F2,98.1,51,5.1,234,222,21,32
F2-42,F2,147.7,70,7.0,527,230,46,29
F2-43,F2,125.7,421,42.1,347,232,98,103
