id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,114.7,241,24.1,88,0,63,69
F2-02,F2,125.4,268,26.8,138,0,67,77
F1-01,F1,82.6,56,5.6,336,0,27,40
F2-03,F2,103.8,98,9.8,533,0,33,45
F1-02,F1,24.6,67,6.7,793,0,53,25
F1-03,F1,33.8,167,16.7,847,0,75,60
F2-04,F2,100.2,30,3.0,981,7,8,16
F2-06,F2,136.6,53,5.3,25,10,33,31
F2-07,F2,148.0,140,14.0,368,10,47,36
F1-04,F1,15.3,56,5.6,589,13,46,13
F1-05,F1,20.7,60,6.0,714,16,22,24
F2-08,F2,160.0,56,5.6,479,18,44,15
F2-11,F2,149.5,31,3.1,208,22,17,14
F2-12,F2,145.5,82,8.2,609,28,43,39
F1-08,F1,25.2,48,4.8,748,31,24,20
F2-13,F2,113.5,42,4.2,311,32,22,17
F2-14,F2,149.2,283,28.3,641,34,115,74
F1-09,F1,26.8,50,5.0,282,40,31,23
FV-01,FV,90.9,129,12.9,47,44,44,46
F2-17,F2,162.0,85,8.5,425,44,48,29
F1-11,F1,84.7,69,6.9,476,46,20,36
F1-12,F1,32.2,64,6.4,544,46,38,34
F1-13,F1,34.7,92,9.2,795,47,40,35
F1-14,F1,28.9,116,11.6,762,49,51,35
F1-16,F1,41.5,42,4.2,923,53,20,22
F2-18,F2,101.6,122,12.2,965,52,28,61
F2-19,F2,121.0,127,12.7,270,66,46,69
F2-20,F2,149.8,118,11.8,335,67,84,53
F2-21,F2,136.5,155,15.5,550,66,56,61
F1-18,F1,59.4,63,6.3,144,71,24,27
F1-19,F1,73.7,123,12.3,232,72,40,54
F2-23,F2,120.0,62,6.2,417,73,29,37
F2-25,F2,162.8,74,7.4,745,81,38,20
F2-26,F2,122.4,30,3.0,614,83,15,14
F1-21,F1,84.3,88,8.8,807,85,10,69
F1-22,F1,35.3,91,9.1,885,87,38,28
F1-23,F1,25.2,83,8.3,2,89,32,26
F1-24,F1,26.2,166,16.6,91,88,61,51
F1-25,F1,23.0,40,4.0,865,93,28,15
FV-03,FV,85.4,69,6.9,780,97,6,55
F1-27,F1,56.4,35,3.5,596,103,19,26
F2-28,F2,140.2,37,3.7,451,106,20,14
F2-29,F2,130.9,161,16.1,519,114,50,58
F1-29,F1,77.2,50,5.0,973,114,14,37
F2-31,F2,98.7,228,22.8,653,116,61,74
F2-32,F2,154.5,52,5.2,498,119,36,19
F2-33,F2,102.0,51,5.1,228,124,15,25
F2-34,F2,121.3,92,9.2,373,129,41,45
F2-35,F2,106.6,83,8.3,559,129,29,50
F1-31,F1,66.8,40,4.0,708,128,17,32
F2-36,F2,123.8,238,23.8,548,130,102,116
F1-32,F1,39.3,73,7.3,275,132,29,28
F2-37,F2,152.5,84,8.4,437,138,60,32
F1-34,F1,17.1,39,3.9,342,140,17,20
F2-38,F2,149.6,102,10.2,199,145,75,44
FV-06,FV,86.5,60,6.0,784,153,4,40
FV-08,FV,90.9,58,5.8,727,163,16,30
F1-39,F1,66.4,39,3.9,305,164,17,31
F1-40,F1,37.6,223,22.3,620,170,85,58
F2-41,F2,136.1,37,3.7,38,175,29,24
F2-42,F2,153.5,157,15.7,323,177,102,53
F2-43,F2,115.7,36,3.6,132,181,15,21
FV-09,FV,87.5,45,4.5,817,181,4,36
F1-42,F1,19.6,82,8.2,438,182,48,22
F2-44,F2,110.3,83,8.3,496,185,21,39
F1-43,F1,73.6,75,7.5,979,184,17,32
F2-45,F2,100.0,102,10.2,166,189,32,59
F2-46,F2,154.7,144,14.4,730,194,59,47
F2-48,F2,126.9,36,3.6,255,204,20,23
F2-49,F2,106.9,444,44.4,350,204,96,148
F2-50,F2,156.5,132,13.2,482,208,65,54
F2-51,F2,111.5,146,14.6,60,211,46,68
