id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,51.5,120,12.0,30,0,37,46
F2-01,F2,115.1,417,41.7,118,0,104,199
F2-02,F2,144.1,63,6.3,566,0,41,34
F2-03,F2,142.2,37,3.7,663,0,26,21
F1-02,F1,16.3,32,3.2,797,0,22,6
FV-01,FV,90.0,36,3.6,716,2,17,25
FV-02,FV,88.6,61,6.1,542,5,21,31
FV-03,FV,89.7,47,4.7,983,7,5,36
FV-04,FV,90.6,168,16.8,247,10,6,108
F2-04,F2,139.1,65,6.5,783,12,41,36
F2-05,F2,115.0,142,14.2,0,20,35,54
F2-06,F2,151.6,74,7.4,627,21,39,30
F2-08,F2,139.2,159,15.9,767,28,100,85
F1-04,F1,71.5,56,5.6,706,30,27,30
F1-05,F1,22.7,40,4.0,576,32,29,20
F2-09,F2,119.5,148,14.8,728,33,54,61
F1-06,F1,81.9,50,5.0,868,41,10,39
F2-10,F2,129.8,131,13.1,618,44,43,49
F2-11,F2,158.4,51,5.1,788,45,33,15
FV-05,FV,89.6,153,15.3,50,47,12,88
FV-06,FV,87.3,38,3.8,78,49,3,21
FV-07,FV,91.3,53,5.3,563,50,12,38
F2-12,F2,137.5,49,4.9,672,54,30,26
F1-07,F1,26.2,114,11.4,930,56,52,31
F2-14,F2,120.6,106,10.6,659,59,45,59
F2-15,F2,143.0,116,11.6,800,61,67,38
FV-08,FV,91.5,94,9.4,272,64,5,61
FV-09,FV,93.6,43,4.3,0,83,7,30
F2-17,F2,126.2,65,6.5,849,89,32,45
FV-10,FV,89.6,67,6.7,985,89,4,45
F2-19,F2,141.5,36,3.6,696,91,29,24
F2-20,F2,144.1,145,14.5,571,93,88,70
FV-11,FV,87.4,50,5.0,564,96,11,37
F2-21,F2,100.1,62,6.2,763,109,23,43
F1-10,F1,19.8,50,5.0,911,109,41,16
F2-22,F2,148.6,203,20.3,679,113,87,65
FV-12,FV,89.7,102,10.2,0,114,30,54
F2-23,F2,117.8,118,11.8,211,121,38,55
F2-24,F2,104.1,90,9.0,241,122,22,38
F2-25,F2,114.9,324,32.4,48,125,69,84
F2-26,F2,122.7,159,15.9,632,124,56,58
F1-12,F1,16.1,31,3.1,810,125,22,9
F2-27,F2,111.6,53,5.3,563,135,18,27
FV-13,FV,86.0,66,6.6,871,137,14,44
FV-14,FV,89.9,258,25.8,970,144,22,158
F1-14,F1,78.1,55,5.5,807,147,23,27
