id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,55.8,36,3.6,219,0,18,25
F2-01,F2,148.5,236,23.6,265,0,145,88
F2-03,F2,113.5,66,6.6,189,7,25,27
F2-04,F2,122.4,32,3.2,458,9,15,19
F1-02,F1,34.4,100,10.0,625,11,44,39
F1-03,F1,33.4,114,11.4,101,16,84,41
F1-04,F1,82.6,36,3.6,250,16,14,23
F1-05,F1,56.2,118,11.8,403,20,45,40
F2-06,F2,148.4,69,6.9,23,23,56,39
F2-07,F2,148.0,203,20.3,695,25,74,57
F2-08,F2,157.7,39,3.9,592,27,32,13
F1-06,F1,57.8,128,12.8,186,29,57,62
F2-09,F2,138.8,69,6.9,269,38,47,31
FV-01,FV,90.2,200,20.0,802,40,61,89
FV-02,FV,88.5,35,3.5,925,40,11,25
F1-07,F1,24.6,75,7.5,962,42,30,31
F2-10,F2,149.7,47,4.7,368,49,35,21
F2-11,F2,161.7,85,8.5,54,57,57,27
FV-03,FV,89.4,137,13.7,751,61,46,66
F2-13,F2,150.6,110,11.0,876,62,82,43
F2-14,F2,147.9,163,16.3,466,66,83,50
F2-15,F2,96.7,125,12.5,9,69,16,93
F1-09,F1,81.8,32,3.2,948,75,7,24
F1-10,F1,19.3,82,8.2,559,76,54,17
F2-17,F2,132.1,43,4.3,124,86,26,20
F2-18,F2,158.1,35,3.5,967,86,24,11
F2-21,F2,127.0,143,14.3,647,99,70,76
F2-22,F2,148.6,187,18.7,863,99,75,55
F1-11,F1,36.4,70,7.0,364,100,46,38
F1-13,F1,18.9,87,8.7,528,105,57,23
F2-23,F2,121.5,101,10.1,317,107,42,75
F2-25,F2,158.6,217,21.7,336,115,149,73
FV-05,FV,94.4,339,33.9,661,121,89,94
F2-26,F2,154.1,55,5.5,126,123,42,22
F1-16,F1,32.5,47,4.7,66,125,27,15
F2-27,F2,137.5,140,14.0,621,124,56,45
F1-18,F1,60.4,753,75.3,479,130,131,153
F2-28,F2,147.8,173,17.3,737,133,81,52
F1-20,F1,20.7,45,4.5,957,143,19,14
F1-21,F1,75.8,83,8.3,595,144,32,39
F2-31,F2,110.8,184,18.4,100,148,56,63
F1-22,F1,39.4,184,18.4,221,149,75,56
F2-32,F2,162.5,45,4.5,30,153,38,15
F2-34,F2,150.6,38,3.8,552,165,34,20
F2-36,F2,152.9,132,13.2,34,166,57,44
F2-37,F2,119.9,164,16.4,601,167,44,79
F1-26,F1,84.6,99,9.9,0,171,33,61
F2-38,F2,153.9,264,26.4,889,173,111,66
F2-39,F2,127.8,34,3.4,320,183,16,20
F2-40,F2,143.6,146,14.6,209,188,112,84
F2-41,F2,163.5,36,3.6,343,190,34,21
F2-42,F2,157.2,214,21.4,773,194,108,48
F2-43,F2,138.4,47,4.7,174,200,36,34
F2-44,F2,158.8,217,21.7,313,209,78,53
F2-45,F2,139.2,78,7.8,393,208,34,27
F1-29,F1,27.1,182,18.2,440,212,77,48
F2-46,F2,151.9,67,6.7,626,213,38,17
F1-30,F1,46.9,93,9.3,692,212,47,49
F1-31,F1,35.3,79,7.9,104,214,33,26
F2-47,F2,142.7,54,5.4,499,218,24,16
F2-48,F2,151.0,49,4.9,654,222,37,22
F2-49,F2,151.7,221,22.1,833,224,88,48
F2-50,F2,162.3,47,4.7,948,227,23,19
F2-51,F2,127.5,35,3.5,748,228,18,20
F2-52,F2,99.0,104,10.4,953,231,41,60
F2-53,F2,152.8,117,11.7,767,233,91,49
F2-54,F2,146.4,51,5.1,610,244,43,29
F2-55,F2,155.1,34,3.4,424,246,26,12
F1-33,F1,31.5,37,3.7,299,248,32,20
F2-56,F2,161.2,85,8.5,253,250,39,22
F1-34,F1,37.0,67,6.7,384,250,33,24
F1-35,F1,33.1,67,6.7,427,261,33,24
F2-58,F2,150.4,72,7.2,63,263,67,37
F1-37,F1,83.2,170,17.0,347,268,47,110
F2-60,F2,152.2,50,5.0,29,270,32,20
F2-61,F2,145.8,51,5.1,573,273,36,26
F1-39,F1,65.9,49,4.9,956,277,21,35
F2-62,F2,136.5,241,24.1,443,282,82,78
F2-63,F2,114.6,64,6.4,545,284,22,32
F1-40,F1,40.7,32,3.2,621,285,32,21
F2-64,F2,161.8,124,12.4,752,284,51,41
F2-65,F2,140.3,211,21.1,114,286,74,63
F2-67,F2,121.9,182,18.2,667,291,55,71
F1-43,F1,15.2,95,9.5,243,293,52,26
F1-44,F1,72.4,110,11.0,897,292,38,66
