id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,81.9,70,7.0,399,0,13,45
F2-01,F2,110.5,198,19.8,529,0,59,61
F1-02,F1,83.5,68,6.8,599,0,10,44
F1-03,F1,25.7,70,7.0,0,12,36,21
F1-04,F1,15.5,52,5.2,758,15,27,29
F1-05,F1,23.8,52,5.2,818,14,26,31
F1-06,F1,39.1,32,3.2,54,26,15,15
F2-02,F2,136.8,85,8.5,198,33,39,36
FV-01,FV,90.1,222,22.2,7,36,39,92
F1-09,F1,37.1,54,5.4,786,43,32,18
FV-02,FV,91.4,30,3.0,161,44,7,18
F1-12,F1,72.6,78,7.8,183,65,23,42
F1-14,F1,73.3,92,9.2,404,65,30,36
F2-03,F2,110.7,135,13.5,774,69,32,69
FV-03,FV,91.8,233,23.3,980,72,13,168
F1-15,F1,15.0,199,19.9,61,76,100,51
F1-16,F1,60.4,251,25.1,145,76,58,79
F2-04,F2,140.2,118,11.8,245,76,45,40
FV-04,FV,91.9,261,26.1,756,78,15,156
F1-17,F1,69.5,51,5.1,306,88,14,28
F2-05,F2,99.1,65,6.5,275,123,15,45
F1-18,F1,81.1,53,5.3,247,125,12,38
FV-07,FV,87.8,130,13.0,603,124,7,100
F2-06,F2,100.1,38,3.8,146,128,13,26
F2-07,F2,136.2,42,4.2,9,130,20,18
FV-08,FV,91.3,42,4.2,428,130,7,29
F2-08,F2,157.1,97,9.7,298,142,53,34
F2-09,F2,126.6,177,17.7,344,148,53,62
F1-20,F1,47.4,73,7.3,184,160,29,36
F2-11,F2,121.5,71,7.1,130,163,22,28
F2-12,F2,99.1,92,9.2,557,163,13,66
F2-13,F2,107.3,99,9.9,810,165,38,62
F2-14,F2,116.5,50,5.0,108,171,20,28
F2-15,F2,116.0,36,3.6,246,170,13,25
F2-16,F2,130.0,35,3.5,320,174,15,17
F1-21,F1,68.1,64,6.4,222,177,22,26
F1-22,F1,76.1,39,3.9,443,178,18,31
F2-18,F2,98.1,67,6.7,588,186,15,41
F1-24,F1,26.7,63,6.3,146,189,34,25
FV-10,FV,90.6,43,4.3,782,188,4,29
F1-25,F1,19.5,140,14.0,695,192,50,30
F1-26,F1,47.4,57,5.7,657,198,38,29
F1-27,F1,47.2,47,4.7,192,215,21,28
F2-19,F2,113.7,84,8.4,336,226,23,26
F1-28,F1,26.6,48,4.8,970,228,22,21
F1-29,F1,34.7,61,6.1,62,287,44,23
F1-30,F1,20.8,201,20.1,923,337,77,45
F1-31,F1,30.3,45,4.5,504,361,23,17
F1-32,F1,25.8,190,19.0,543,381,74,31
F1-33,F1,17.8,95,9.5,175,427,60,23
F1-34,F1,38.6,86,8.6,335,430,53,33
F2-22,F2,128.7,39,3.9,925,544,28,25
F2-23,F2,159.8,76,7.6,432,560,50,22
F2-24,F2,152.8,230,23.0,344,573,85,52
F2-25,F2,154.4,38,3.8,862,580,24,12
F2-26,F2,148.5,42,4.2,116,583,29,15
F1-35,F1,45.1,45,4.5,633,648,23,18
F2-27,F2,115.6,43,4.3,524,658,26,28
F1-36,F1,57.1,43,4.3,61,677,23,21
F2-28,F2,138.2,84,8.4,748,696,38,26
