id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,99.2,33,3.3,154,0,5,25
F2-02,F2,119.9,263,26.3,251,0,60,87
F1-01,F1,31.2,33,3.3,420,0,24,24
F1-02,F1,41.4,88,8.8,537,0,43,40
F2-03,F2,104.6,109,10.9,88,5,38,54
F2-04,F2,164.2,66,6.6,694,7,40,20
F2-05,F2,154.9,38,3.8,883,12,20,11
F1-04,F1,65.5,670,67.0,9,15,119,171
F1-06,F1,71.2,78,7.8,419,29,25,50
FV-02,FV,92.8,292,29.2,668,31,31,178
F2-07,F2,126.6,49,4.9,155,35,23,35
F1-09,F1,16.0,73,7.3,17,41,38,23
FV-03,FV,86.0,52,5.2,52,44,18,29
F1-10,F1,23.0,165,16.5,886,46,87,49
F1-11,F1,38.5,334,33.4,169,48,75,86
F2-08,F2,116.5,81,8.1,300,48,41,34
FV-04,FV,90.2,32,3.2,330,55,5,32
F1-12,F1,29.0,63,6.3,355,61,28,23
FV-05,FV,91.8,91,9.1,292,64,7,68
F1-13,F1,66.8,30,3.0,557,64,15,23
F2-10,F2,123.2,73,7.3,31,71,34,37
FV-06,FV,93.2,187,18.7,832,71,31,137
F1-15,F1,82.0,51,5.1,152,76,10,43
F2-11,F2,97.7,171,17.1,266,84,19,90
F2-12,F2,97.0,411,41.1,537,84,80,130
F1-16,F1,81.7,111,11.1,384,92,34,59
F2-13,F2,95.5,73,7.3,333,95,9,48
F2-15,F2,118.8,32,3.2,134,107,18,24
F1-17,F1,48.4,43,4.3,649,112,18,18
F2-18,F2,97.2,575,57.5,716,115,126,134
F1-18,F1,18.7,31,3.1,923,126,21,9
F1-19,F1,48.9,99,9.9,31,131,40,42
F2-20,F2,112.4,31,3.1,725,131,11,17
F1-21,F1,38.0,64,6.4,485,135,40,31
F1-22,F1,23.3,144,14.4,127,142,55,38
F1-23,F1,56.2,164,16.4,362,146,51,55
F2-22,F2,100.8,94,9.4,725,151,20,47
F2-23,F2,106.2,73,7.3,392,152,20,37
F2-25,F2,109.5,62,6.2,312,155,20,30
F1-26,F1,36.2,33,3.3,204,158,15,12
F2-27,F2,147.7,63,6.3,224,163,46,25
FV-07,FV,94.8,32,3.2,172,164,12,16
F1-27,F1,17.8,56,5.6,643,166,20,15
F1-28,F1,53.0,41,4.1,904,174,20,18
F2-28,F2,110.0,36,3.6,965,195,15,22
F2-30,F2,137.2,139,13.9,879,202,55,47
F2-32,F2,123.7,66,6.6,806,215,33,30
F1-32,F1,84.1,41,4.1,46,238,15,24
FV-11,FV,89.9,42,4.2,685,244,3,29
F1-33,F1,54.4,47,4.7,158,252,30,32
FV-13,FV,90.2,37,3.7,847,278,5,33
F1-34,F1,34.6,423,42.3,913,318,87,67
F1-35,F1,57.0,124,12.4,607,322,45,37
F2-33,F2,95.8,119,11.9,829,322,43,37
F1-36,F1,65.7,195,19.5,239,324,61,45
F1-37,F1,21.2,72,7.2,761,324,43,20
F1-38,F1,15.9,31,3.1,805,342,25,10
F1-39,F1,65.1,86,8.6,301,346,36,26
F1-40,F1,30.3,241,24.1,494,361,74,51
F1-41,F1,24.2,98,9.8,117,373,35,22
F2-35,F2,164.5,503,50.3,627,396,153,106
F2-36,F2,130.7,52,5.2,903,396,22,20
F1-43,F1,18.8,53,5.3,964,399,36,12
F1-45,F1,47.4,98,9.8,21,412,42,35
F2-37,F2,151.8,33,3.3,62,413,19,14
F1-46,F1,42.1,31,3.1,276,418,14,14
F2-38,F2,136.7,95,9.5,358,429,46,41
F2-40,F2,139.7,124,12.4,751,445,48,33
F1-47,F1,36.9,68,6.8,914,462,28,21
F2-41,F2,162.2,209,20.9,0,484,71,36
F1-48,F1,23.4,57,5.7,685,493,41,17
F1-49,F1,50.6,147,14.7,771,511,70,67
F1-50,F1,59.6,51,5.1,961,539,24,23
F1-51,F1,84.2,73,7.3,414,587,29,30
F2-42,F2,124.8,34,3.4,216,595,23,22
F2-43,F2,151.1,31,3.1,180,599,19,11
F1-53,F1,15.0,72,7.2,363,610,49,28
F2-46,F2,117.8,74,7.4,77,650,39,53
F2-47,F2,165.0,130,13.0,929,654,60,34
F1-55,F1,45.0,62,6.2,239,665,41,42
F1-56,F1,16.5,32,3.2,567,664,19,10
F2-48,F2,156.2,117,11.7,872,675,56,33
F2-49,F2,119.2,204,20.4,405,718,69,62
F2-50,F2,163.6,63,6.3,688,730,41,11
