id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,135.3,54,5.4,368,11,39,38
F2-02,F2,158.4,323,32.3,56,25,181,95
F2-03,F2,155.7,74,7.4,2,39,50,22
F2-06,F2,133.7,309,30.9,171,58,100,80
F2-10,F2,121.0,100,10.0,614,146,45,68
F1-02,F1,85.0,196,19.6,0,363,17,231
F2-18,F2,141.6,46,4.6,404,460,41,37
F2-20,F2,152.4,31,3.1,62,489,31,15
F1-03,F1,40.6,33,3.3,532,506,28,24
F2-22,F2,133.9,107,10.7,284,538,72,60
FV-01,FV,92.3,50,5.0,592,591,15,56
F2-26,F2,153.9,48,4.8,723,598,50,25
F1-05,F1,57.4,49,4.9,659,657,32,41
F2-29,F2,147.0,34,3.4,112,660,42,25
F2-30,F2,129.3,34,3.4,609,673,21,23
F1-06,F1,54.5,62,6.2,18,678,26,39
F2-31,F2,119.0,58,5.8,494,699,44,68
F2-33,F2,122.8,40,4.0,256,711,25,19
F2-36,F2,142.8,109,10.9,6,105,64,52
F2-37,F2,110.1,120,12.0,316,116,37,86
F2-38,F2,151.3,74,7.4,345,178,51,31
F1-10,F1,64.3,31,3.1,364,239,14,25
FV-03,FV,89.8,103,10.3,0,262,4,95
F2-39,F2,161.2,45,4.5,528,364,47,15
