id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,140.0,116,11.6,0,0,56,43
F2-02,F2,98.8,512,51.2,918,5,82,98
F2-03,F2,138.6,82,8.2,564,8,36,29
F1-02,F1,76.5,41,4.1,755,21,17,22
F2-05,F2,95.3,1213,121.3,766,21,157,168
F1-03,F1,79.4,32,3.2,912,24,13,18
F2-06,F2,97.5,53,5.3,292,27,17,19
F2-07,F2,152.5,89,8.9,696,37,44,29
FV-01,FV,89.5,63,6.3,854,36,17,30
F1-04,F1,34.8,415,41.5,678,43,119,104
F2-08,F2,157.6,72,7.2,0,49,42,21
F1-05,F1,42.0,79,7.9,84,59,42,31
F1-06,F1,76.6,50,5.0,127,61,10,33
F1-07,F1,42.4,32,3.2,204,60,25,17
F2-09,F2,129.5,34,3.4,658,63,13,11
F1-09,F1,66.4,35,3.5,766,75,12,20
F2-10,F2,135.6,110,11.0,0,79,59,58
F1-10,F1,34.5,1034,103.4,0,80,139,147
F2-11,F2,115.4,89,8.9,957,98,29,29
F2-12,F2,126.7,214,21.4,899,112,57,59
F1-13,F1,15.3,36,3.6,165,141,31,10
F1-14,F1,84.5,132,13.2,153,145,12,90
F1-15,F1,68.5,86,8.6,970,145,30,35
F1-17,F1,43.9,83,8.3,741,171,44,40
F1-18,F1,82.6,52,5.2,729,176,17,30
F1-19,F1,54.3,52,5.2,957,176,24,27
F2-14,F2,152.5,49,4.9,899,178,24,17
F1-20,F1,30.8,46,4.6,810,194,26,21
F1-21,F1,22.6,92,9.2,51,202,49,21
F2-15,F2,125.1,92,9.2,168,215,52,51
F1-22,F1,84.1,57,5.7,740,217,13,34
F1-23,F1,73.8,194,19.4,844,218,49,81
F1-24,F1,60.5,276,27.6,773,222,75,91
F1-26,F1,84.1,115,11.5,162,236,21,73
FV-04,FV,89.1,273,27.3,88,239,51,69
F2-17,F2,106.8,47,4.7,748,242,11,25
F1-27,F1,63.3,61,6.1,918,245,25,46
F2-19,F2,142.3,150,15.0,39,246,49,34
F1-28,F1,84.9,63,6.3,750,268,16,27
F1-29,F1,36.6,34,3.4,260,270,25,15
F2-20,F2,103.2,154,15.4,0,282,56,64
F1-30,F1,33.1,93,9.3,925,291,36,30
F1-31,F1,52.7,57,5.7,887,301,31,33
F2-21,F2,100.3,51,5.1,760,305,12,32
F2-22,F2,97.8,598,59.8,25,306,82,165
FV-05,FV,88.7,219,21.9,172,306,9,160
F2-23,F2,96.6,54,5.4,115,308,11,46
F1-32,F1,39.2,35,3.5,805,317,17,18
F1-34,F1,80.9,82,8.2,760,344,18,38
F1-35,F1,61.6,87,8.7,912,345,24,28
F1-36,F1,55.5,944,94.4,792,347,138,161
F1-37,F1,19.7,39,3.9,836,354,19,13
F1-38,F1,24.9,34,3.4,27,357,24,13
F2-25,F2,112.1,72,7.2,93,367,27,23
F1-41,F1,30.4,71,7.1,0,369,31,18
F2-26,F2,106.7,92,9.2,971,371,23,49
F1-42,F1,78.3,166,16.6,924,377,44,48
F1-43,F1,79.8,106,10.6,767,391,18,70
F2-27,F2,145.8,229,22.9,899,436,76,65
FV-07,FV,87.2,84,8.4,768,472,10,51
F1-45,F1,82.9,34,3.4,419,481,12,17
F1-46,F1,72.1,177,17.7,937,487,41,69
F1-47,F1,38.6,44,4.4,19,495,18,16
F1-48,F1,74.1,76,7.6,975,498,19,35
F2-30,F2,123.2,38,3.8,133,504,16,20
FV-09,FV,89.3,49,4.9,89,514,8,42
F1-50,F1,71.3,106,10.6,76,542,32,65
F1-52,F1,38.2,56,5.6,140,544,35,30
F2-33,F2,97.6,109,10.9,754,567,18,60
F1-54,F1,18.0,317,31.7,912,566,75,68
F2-35,F2,102.0,37,3.7,159,578,11,32
F2-36,F2,128.1,431,43.1,0,608,135,95
F1-56,F1,65.6,86,8.6,107,608,29,62
F2-38,F2,105.0,99,9.9,738,628,21,58
F1-57,F1,75.4,426,42.6,905,630,78,149
F2-40,F2,158.2,53,5.3,830,635,24,17
FV-12,FV,92.5,33,3.3,153,638,9,25
F1-58,F1,82.2,43,4.3,0,646,12,16
F1-59,F1,16.2,51,5.1,849,649,30,12
F1-60,F1,16.2,37,3.7,880,652,25,14
F1-61,F1,37.9,35,3.5,134,671,24,17
F2-41,F2,141.6,31,3.1,918,672,20,15
F2-42,F2,160.5,91,9.1,191,681,38,18
F2-43,F2,117.6,69,6.9,886,682,31,33
FV-14,FV,90.6,45,4.5,730,686,10,29
F1-62,F1,21.5,40,4.0,357,690,28,15
F2-45,F2,121.7,97,9.7,696,712,38,42
F1-63,F1,38.1,30,3.0,931,734,13,11
F1-64,F1,83.8,63,6.3,210,736,30,31
F1-65,F1,19.5,53,5.3,899,743,35,16
F2-46,F2,106.7,59,5.9,703,756,18,32
