id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,162.4,1608,160.8,0,0,329,183
F1-01,F1,47.9,920,92.0,456,0,331,361
F1-02,F1,17.5,60,6.0,952,0,48,18
F2-02,F2,159.1,93,9.3,0,4,46,20
F2-03,F2,121.6,510,51.0,174,15,206,233
F2-04,F2,148.7,274,27.4,342,26,201,119
F2-05,F2,136.1,48,4.8,620,40,30,29
F1-03,F1,53.1,60,6.0,519,47,35,42
F1-04,F1,71.0,567,56.7,537,89,156,248
F2-08,F2,150.1,57,5.7,694,113,37,24
F2-09,F2,149.5,447,44.7,139,142,389,234
F2-10,F2,152.5,83,8.3,622,144,59,30
F2-11,F2,132.0,494,49.4,328,170,208,214
F2-12,F2,115.1,49,4.9,331,175,17,38
F2-13,F2,143.7,186,18.6,65,248,108,80
F2-14,F2,146.4,650,65.0,0,296,323,278
F2-15,F2,160.2,55,5.5,26,325,42,18
FV-01,FV,92.3,169,16.9,779,366,7,133
F2-16,F2,154.6,293,29.3,565,380,194,111
F2-17,F2,147.5,46,4.6,501,382,34,24
F2-18,F2,140.2,78,7.8,53,389,52,43
F2-19,F2,127.3,31,3.1,351,423,16,21
F2-20,F2,147.7,54,5.4,427,424,42,25
F1-05,F1,43.5,65,6.5,401,469,46,49
F1-06,F1,55.3,68,6.8,447,519,31,43
F2-25,F2,97.1,112,11.2,449,602,35,55
F2-26,F2,107.3,45,4.5,434,605,16,29
F2-27,F2,134.4,58,5.8,479,658,22,25
F1-07,F1,25.8,46,4.6,483,684,30,19
F2-28,F2,150.9,45,4.5,477,713,35,21
F2-29,F2,115.2,30,3.0,460,720,11,23
F2-31,F2,160.4,97,9.7,457,740,48,28
F1-08,F1,28.7,51,5.1,464,743,17,16
F2-32,F2,163.7,61,6.1,415,756,38,13
F2-37,F2,131.8,140,14.0,241,501,45,44
F2-38,F2,145.7,50,5.0,503,506,37,28
F2-39,F2,128.1,47,4.7,217,535,21,24
F2-40,F2,153.7,48,4.8,185,560,39,20
F1-10,F1,42.5,40,4.0,221,567,24,24
F2-41,F2,108.6,489,48.9,103,574,117,182
F1-11,F1,52.8,36,3.6,245,592,25,33
F1-12,F1,61.2,43,4.3,115,621,19,29
F2-46,F2,141.9,58,5.8,224,629,42,31
F2-47,F2,148.8,106,10.6,0,634,77,48
F2-48,F2,100.0,100,10.0,536,680,35,41
F2-49,F2,155.2,43,4.3,0,683,27,18
F1-14,F1,23.7,53,5.3,26,697,31,16
F1-15,F1,70.7,38,3.8,466,699,16,21
F2-50,F2,134.6,114,11.4,422,703,44,43
F1-16,F1,35.9,202,20.2,637,708,66,53
F2-51,F2,112.1,35,3.5,88,719,10,23
F1-19,F1,62.3,34,3.4,98,607,17,17
F1-20,F1,58.8,80,8.0,344,672,35,42
F1-22,F1,75.5,48,4.8,338,678,19,30
F2-53,F2,145.0,41,4.1,60,685,29,22
F2-54,F2,131.4,35,3.5,382,684,21,25
F1-23,F1,71.6,35,3.5,423,690,15,25
F1-24,F1,19.4,61,6.1,650,693,37,17
F1-25,F1,46.7,67,6.7,558,704,31,37
F2-56,F2,149.4,114,11.4,24,714,49,37
F2-57,F2,144.9,47,4.7,366,715,28,23
F2-58,F2,143.1,64,6.4,323,721,37,28
F1-27,F1,38.1,47,4.7,291,724,31,23
F2-59,F2,134.4,73,7.3,406,635,41,44
F2-60,F2,145.3,42,4.2,89,662,30,22
F1-29,F1,27.5,34,3.4,377,667,24,16
F1-32,F1,41.3,35,3.5,264,712,20,18
F2-62,F2,120.9,39,3.9,274,657,20,30
F2-63,F2,118.7,75,7.5,279,658,29,39
F2-64,F2,149.4,67,6.7,705,673,38,28
F2-65,F2,146.9,43,4.3,324,630,32,21
F2-67,F2,150.3,31,3.1,391,586,22,15
F2-69,F2,137.4,31,3.1,413,563,22,22
F2-71,F2,130.0,48,4.8,666,457,25,33
F2-72,F2,108.6,47,4.7,664,494,11,32
FV-06,FV,93.5,151,15.1,769,500,11,122
F1-33,F1,52.4,346,34.6,655,529,116,137
F2-74,F2,156.9,201,20.1,539,565,141,68
F1-34,F1,54.5,99,9.9,490,588,48,57
F1-35,F1,64.7,37,3.7,521,646,14,30
F2-76,F2,118.8,31,3.1,211,660,12,21
F2-77,F2,97.1,61,6.1,761,667,6,43
F2-78,F2,146.1,103,10.3,704,711,58,44
