id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,118.8,61,6.1,95,7,26,38
F2-02,F2,104.8,31,3.1,238,7,9,19
F1-01,F1,45.6,43,4.3,640,68,24,27
F2-05,F2,156.6,57,5.7,604,79,33,13
F2-06,F2,152.9,42,4.2,655,131,23,15
F2-08,F2,149.0,49,4.9,607,168,38,22
F2-09,F2,157.2,52,5.2,570,177,36,18
F2-10,F2,131.6,130,13.0,535,190,70,70
F2-11,F2,163.2,63,6.3,526,194,43,21
F2-14,F2,142.3,34,3.4,483,277,24,18
F1-03,F1,58.3,54,5.4,715,56,24,29
F1-04,F1,65.5,219,21.9,471,83,51,127
F2-20,F2,108.2,30,3.0,612,118,10,21
F2-21,F2,149.8,41,4.1,692,119,33,19
F2-24,F2,148.7,156,15.6,761,53,101,52
F2-25,F2,156.3,32,3.2,830,75,23,13
F2-26,F2,150.6,55,5.5,503,79,38,22
F1-07,F1,50.8,34,3.4,578,83,20,22
F1-08,F1,41.6,30,3.0,556,112,16,14
F2-27,F2,102.0,85,8.5,82,48,15,70
F2-28,F2,159.2,37,3.7,771,56,26,20
F2-29,F2,149.1,75,7.5,100,71,58,32
F2-30,F2,140.3,33,3.3,809,111,19,14
F2-31,F2,98.0,229,22.9,54,119,28,165
F1-10,F1,67.3,51,5.1,789,136,23,29
F1-11,F1,25.8,32,3.2,930,143,19,11
F2-32,F2,97.9,396,39.6,436,152,48,250
F2-34,F2,141.7,39,3.9,883,215,15,18
F1-13,F1,32.3,48,4.8,645,224,35,27
FV-05,FV,89.2,35,3.5,825,239,5,20
F2-36,F2,99.1,118,11.8,39,276,17,92
F2-39,F2,101.2,59,5.9,517,355,21,33
F2-40,F2,144.4,1128,112.8,530,366,470,323
F2-41,F2,96.0,541,54.1,0,369,62,335
F2-42,F2,116.3,35,3.5,201,374,17,23
FV-09,FV,89.3,31,3.1,565,387,10,28
FV-10,FV,94.2,409,40.9,413,403,24,271
F1-15,F1,62.7,39,3.9,489,403,16,23
F2-44,F2,155.9,40,4.0,673,448,25,14
F1-16,F1,74.0,35,3.5,636,458,14,30
F2-45,F2,154.2,48,4.8,40,474,24,14
F1-17,F1,74.9,36,3.6,494,484,11,28
F2-47,F2,151.9,48,4.8,953,633,47,25
F2-48,F2,95.5,287,28.7,405,664,45,136
F2-49,F2,133.3,60,6.0,913,674,32,28
F2-50,F2,150.4,39,3.9,868,713,27,17
FV-11,FV,90.0,37,3.7,0,755,1,37
F2-51,F2,147.9,52,5.2,759,768,36,26
