id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,16.3,73,7.3,907,0,54,17
F2-01,F2,142.1,103,10.3,282,2,69,48
F2-02,F2,139.7,61,6.1,609,50,40,36
F1-02,F1,55.2,136,13.6,727,56,56,67
F2-03,F2,152.6,39,3.9,94,70,25,16
F2-06,F2,153.5,57,5.7,110,102,43,23
F2-10,F2,141.7,53,5.3,18,143,30,27
F1-05,F1,43.2,73,7.3,64,92,33,25
F1-07,F1,69.6,36,3.6,27,30,14,25
F2-15,F2,143.5,54,5.4,53,15,30,21
F1-08,F1,22.1,108,10.8,192,26,76,39
F1-09,F1,26.0,102,10.2,170,42,46,37
F1-10,F1,28.0,66,6.6,490,46,46,32
F2-16,F2,151.9,30,3.0,0,61,24,13
F2-17,F2,127.9,38,3.8,437,71,24,23
F2-18,F2,102.5,700,70.0,453,84,187,228
F2-19,F2,147.5,152,15.2,327,94,109,68
F2-20,F2,108.5,41,4.1,269,99,15,29
FV-01,FV,91.6,734,73.4,767,124,19,520
F2-21,F2,141.3,484,48.4,11,129,271,233
F2-22,F2,152.1,100,10.0,629,140,78,42
F2-23,F2,95.7,159,15.9,266,168,54,87
F2-24,F2,146.8,430,43.0,208,169,291,189
F2-26,F2,138.8,35,3.5,727,244,19,17
F2-27,F2,162.1,31,3.1,644,272,26,9
F2-29,F2,138.8,74,7.4,412,323,32,26
F2-30,F2,126.5,103,10.3,364,345,47,59
F2-32,F2,136.6,38,3.8,349,428,26,27
F2-33,F2,162.4,38,3.8,360,455,31,12
F2-37,F2,148.4,188,18.8,216,504,81,55
F1-11,F1,52.3,86,8.6,221,577,50,61
F2-40,F2,151.0,78,7.8,161,585,55,33
F2-41,F2,150.7,36,3.6,159,589,27,17
F2-43,F2,107.1,38,3.8,145,618,13,30
F1-12,F1,37.9,35,3.5,100,629,24,18
F2-46,F2,139.1,95,9.5,210,640,56,51
F2-47,F2,149.9,55,5.5,25,649,44,29
F2-48,F2,157.8,129,12.9,88,649,66,46
F1-14,F1,66.5,90,9.0,0,678,33,39
F1-15,F1,81.6,212,21.2,173,692,60,65
F2-49,F2,119.4,45,4.5,56,703,22,24
F1-16,F1,38.6,36,3.6,34,710,21,13
FV-02,FV,94.5,41,4.1,38,730,17,28
F1-17,F1,18.7,32,3.2,58,749,26,10
F2-50,F2,112.2,240,24.0,115,709,62,58
F2-51,F2,127.9,83,8.3,74,721,39,32
F1-20,F1,84.5,39,3.9,127,713,9,31
F2-54,F2,155.9,188,18.8,298,709,99,55
F1-21,F1,45.7,34,3.4,263,723,20,20
F2-58,F2,133.9,86,8.6,255,659,44,44
F2-59,F2,151.2,119,11.9,369,667,65,52
F2-60,F2,128.1,67,6.7,478,669,24,30
F2-61,F2,107.5,43,4.3,286,677,17,31
F2-62,F2,164.4,45,4.5,501,685,26,16
F2-63,F2,156.1,152,15.2,446,699,67,38
F2-65,F2,163.1,30,3.0,499,722,25,9
F1-26,F1,76.9,225,22.5,458,731,49,49
F2-66,F2,155.7,117,11.7,392,740,53,40
F2-67,F2,144.0,80,8.0,140,342,63,45
F2-68,F2,145.2,64,6.4,216,412,50,37
F2-71,F2,145.0,205,20.5,71,450,138,100
F2-72,F2,147.0,67,6.7,282,365,44,33
F1-28,F1,64.3,54,5.4,391,461,21,36
F1-29,F1,39.5,33,3.3,413,496,25,21
F1-30,F1,55.2,56,5.6,438,518,24,37
F2-74,F2,150.1,110,11.0,530,353,70,43
F2-75,F2,161.4,45,4.5,428,361,42,17
F1-31,F1,32.9,39,3.9,339,368,24,13
F2-76,F2,119.3,200,20.0,662,394,85,134
F2-77,F2,119.9,158,15.8,34,403,67,99
F2-78,F2,146.7,362,36.2,417,446,246,147
F1-33,F1,34.3,170,17.0,9,548,98,80
F1-34,F1,64.4,63,6.3,715,571,22,47
F2-80,F2,160.3,302,30.2,489,572,178,92
F2-81,F2,143.9,168,16.8,302,590,114,81
F2-82,F2,120.7,70,7.0,433,605,29,45
FV-04,FV,87.5,45,4.5,467,604,8,35
F2-83,F2,164.5,1457,145.7,504,619,265,160
F1-36,F1,33.4,30,3.0,151,689,21,16
F1-37,F1,26.3,70,7.0,356,750,39,25
