id,family,angle_deg,length_px,length_cm,x,y,width,height
FV-01,FV,88.6,44,4.4,216,0,4,28
F1-01,F1,83.2,64,6.4,567,0,8,48
FV-02,FV,89.3,524,52.4,654,0,57,126
F2-01,F2,164.1,57,5.7,886,0,45,18
F1-02,F1,25.2,34,3.4,936,0,28,13
F2-02,F2,99.3,64,6.4,979,0,11,29
F2-03,F2,98.8,187,18.7,721,11,27,97
F1-03,F1,71.7,88,8.8,410,12,28,53
F1-04,F1,38.9,70,7.0,309,14,42,25
FV-04,FV,87.7,288,28.8,950,17,20,162
FV-05,FV,91.7,36,3.6,158,18,8,24
F1-05,F1,54.9,32,3.2,543,19,10,17
F1-06,F1,61.9,180,18.0,360,24,36,59
F2-04,F2,121.6,37,3.7,437,37,16,21
FV-08,FV,89.8,206,20.6,986,36,11,143
F1-09,F1,20.9,172,17.2,92,59,59,48
FV-12,FV,87.4,87,8.7,648,59,10,61
F1-10,F1,17.3,52,5.2,58,64,29,14
F2-07,F2,119.5,78,7.8,396,65,28,42
F1-11,F1,78.9,255,25.5,453,66,95,83
F1-12,F1,67.6,42,4.2,440,77,12,28
F2-08,F2,98.8,59,5.9,166,80,13,33
FV-13,FV,89.9,51,5.1,578,83,4,47
F2-09,F2,154.2,1685,168.5,100,85,489,306
F2-10,F2,118.4,215,21.5,89,90,47,89
F2-11,F2,163.1,34,3.4,359,90,22,11
FV-14,FV,88.5,147,14.7,885,96,16,101
F1-14,F1,52.2,40,4.0,382,102,20,16
F2-12,F2,129.9,67,6.7,15,108,28,28
F1-18,F1,28.2,304,30.4,677,113,98,79
F1-20,F1,81.1,164,16.4,448,120,19,88
FV-15,FV,89.8,126,12.6,382,125,19,80
FV-16,FV,88.0,39,3.9,965,125,5,30
F1-21,F1,83.8,124,12.4,136,132,36,59
F2-13,F2,123.1,60,6.0,403,138,22,23
FV-18,FV,86.5,211,21.1,511,138,64,125
F1-22,F1,65.1,117,11.7,937,138,33,73
F1-23,F1,54.8,47,4.7,347,143,19,24
FV-19,FV,91.9,31,3.1,29,145,6,16
F2-14,F2,126.1,30,3.0,188,144,14,17
F2-15,F2,95.6,240,24.0,411,150,28,145
F2-16,F2,138.6,115,11.5,672,161,33,37
F2-18,F2,106.3,67,6.7,216,167,21,29
F1-24,F1,49.1,347,34.7,238,168,136,140
F1-25,F1,79.6,476,47.6,29,173,78,125
F2-20,F2,109.5,146,14.6,619,179,28,77
FV-22,FV,88.1,51,5.1,785,179,6,42
F1-26,F1,84.4,171,17.1,734,180,21,95
FV-25,FV,89.4,31,3.1,490,185,6,17
F2-21,F2,143.0,44,4.4,605,185,26,18
F2-22,F2,111.5,168,16.8,878,184,36,62
F1-27,F1,48.3,76,7.6,101,188,35,33
FV-26,FV,90.6,51,5.1,8,191,6,35
F1-28,F1,80.2,267,26.7,138,191,74,95
FV-27,FV,93.5,246,24.6,367,206,33,97
F1-31,F1,68.6,172,17.2,454,208,34,61
FV-28,FV,86.7,452,45.2,829,209,55,155
FV-29,FV,85.1,125,12.5,829,211,9,57
F2-24,F2,115.1,618,61.8,742,215,63,149
F2-26,F2,117.5,44,4.4,95,216,20,23
F2-27,F2,150.2,43,4.3,223,216,21,22
F2-28,F2,124.3,209,20.9,626,217,56,88
F2-29,F2,110.7,125,12.5,684,217,28,58
F2-30,F2,106.9,51,5.1,130,220,13,37
FV-31,FV,94.8,66,6.6,705,251,14,29
F2-32,F2,139.1,66,6.6,201,257,30,29
F2-33,F2,119.0,80,8.0,115,258,28,46
F2-34,F2,143.1,67,6.7,967,265,26,15
F1-33,F1,63.8,45,4.5,734,268,12,22
F2-35,F2,161.3,132,13.2,7,271,43,35
F1-34,F1,34.6,49,4.9,426,270,27,22
F1-35,F1,23.9,130,13.0,145,286,85,47
F1-36,F1,26.2,71,7.1,72,294,36,31
F1-37,F1,37.7,67,6.7,418,301,27,26
F1-38,F1,16.7,72,7.2,22,304,41,23
F2-36,F2,123.4,30,3.0,397,305,12,17
F1-39,F1,82.7,132,13.2,612,309,27,61
FV-33,FV,90.3,112,11.2,883,309,31,42
F1-40,F1,20.6,186,18.6,348,311,70,40
F2-38,F2,114.1,97,9.7,784,323,29,47
FV-34,FV,89.0,34,3.4,837,329,2,24
F2-39,F2,108.7,86,8.6,914,336,38,27
F2-40,F2,109.1,54,5.4,741,352,19,24
F2-41,F2,122.2,61,6.1,633,360,21,27
F1-42,F1,77.3,68,6.8,842,377,22,28
F2-43,F2,160.9,143,14.3,388,454,81,40
F2-44,F2,100.6,35,3.5,562,486,16,14
F1-43,F1,34.7,94,9.4,634,729,44,22
