id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,50.9,72,7.2,134,0,24,33
F2-01,F2,152.7,47,4.7,763,0,31,29
F1-02,F1,49.6,38,3.8,885,0,18,20
F1-03,F1,84.8,288,28.8,910,0,35,98
F1-04,F1,84.8,91,9.1,950,0,31,35
F1-05,F1,47.0,51,5.1,220,3,23,22
F1-06,F1,18.9,128,12.8,0,5,64,32
FV-01,FV,94.7,143,14.3,641,4,35,52
F2-02,F2,154.5,74,7.4,238,9,36,28
F1-07,F1,54.9,33,3.3,335,10,20,30
FV-02,FV,92.4,43,4.3,617,22,10,30
F1-10,F1,31.6,40,4.0,867,23,31,18
FV-03,FV,87.8,800,80.0,49,27,133,160
FV-04,FV,85.9,122,12.2,177,30,40,41
F1-11,F1,21.7,58,5.8,262,31,34,20
F2-04,F2,98.0,86,8.6,213,35,19,56
F1-13,F1,23.0,177,17.7,299,34,74,45
F2-05,F2,98.8,52,5.2,170,50,17,28
FV-05,FV,93.5,264,26.4,640,57,25,115
F2-06,F2,126.8,73,7.3,600,59,39,44
F1-15,F1,29.4,288,28.8,281,60,96,77
F1-16,F1,75.7,36,3.6,525,61,11,22
F1-17,F1,39.4,40,4.0,481,65,17,17
F2-07,F2,122.1,100,10.0,226,75,29,33
F1-19,F1,67.6,223,22.3,171,77,54,62
F2-08,F2,95.5,43,4.3,506,79,12,31
F1-21,F1,63.1,241,24.1,269,86,72,96
F2-09,F2,108.4,111,11.1,402,86,28,60
F2-10,F2,100.9,112,11.2,447,90,34,38
F1-22,F1,62.3,160,16.0,563,91,46,42
F1-23,F1,47.6,103,10.3,250,96,38,40
F1-24,F1,76.1,90,9.0,427,97,18,60
F2-12,F2,105.2,332,33.2,499,105,68,130
F1-25,F1,52.0,258,25.8,219,112,67,85
FV-07,FV,92.1,49,4.9,513,116,4,29
F1-26,F1,78.3,59,5.9,802,121,14,53
F1-27,F1,38.2,81,8.1,667,123,41,33
FV-08,FV,91.2,95,9.5,660,124,6,71
F2-13,F2,145.1,133,13.3,0,130,60,42
F1-28,F1,41.0,61,6.1,488,131,29,22
F1-29,F1,76.3,116,11.6,374,138,40,49
F1-30,F1,21.5,56,5.6,183,140,27,17
FV-10,FV,89.4,56,5.6,356,141,2,39
F1-31,F1,59.7,280,28.0,129,147,71,70
F2-14,F2,108.3,65,6.5,562,149,29,30
F2-15,F2,123.0,32,3.2,161,153,18,17
F1-32,F1,79.3,42,4.2,463,154,13,29
F1-33,F1,72.5,46,4.6,506,154,12,28
F2-16,F2,127.8,114,11.4,592,154,41,62
FV-11,FV,90.0,86,8.6,695,156,12,46
F1-34,F1,77.3,55,5.5,439,158,18,35
F2-17,F2,103.4,112,11.2,534,161,27,81
F2-18,F2,99.5,79,7.9,199,164,33,34
F2-19,F2,161.9,57,5.7,117,179,34,22
F1-36,F1,61.3,194,19.4,458,180,49,60
F2-21,F2,146.8,32,3.2,236,182,18,12
F2-22,F2,123.0,41,4.1,330,182,16,20
FV-12,FV,89.5,124,12.4,903,185,8,88
FV-13,FV,89.4,73,7.3,73,186,7,57
F1-37,F1,22.9,121,12.1,629,186,53,43
F1-38,F1,26.1,163,16.3,287,188,66,52
F1-39,F1,27.4,169,16.9,344,191,71,48
FV-14,FV,86.5,117,11.7,935,190,10,80
F1-40,F1,39.4,158,15.8,427,193,55,46
F2-23,F2,138.0,248,24.8,532,195,77,69
FV-15,FV,86.4,40,4.0,714,194,19,19
F1-42,F1,49.7,86,8.6,188,197,32,42
F2-24,F2,133.5,158,15.8,232,202,47,41
F1-43,F1,26.4,30,3.0,31,206,17,10
F2-25,F2,103.3,73,7.3,761,211,20,47
F2-26,F2,119.8,53,5.3,750,214,23,26
F1-44,F1,63.4,35,3.5,726,217,17,21
F2-27,F2,156.7,65,6.5,684,227,35,22
F2-28,F2,144.0,80,8.0,634,228,35,33
FV-17,FV,90.9,33,3.3,623,230,10,22
F2-29,F2,153.9,99,9.9,0,240,69,39
F2-30,F2,132.0,56,5.6,276,240,34,29
FV-18,FV,94.0,47,4.7,932,241,5,37
FV-19,FV,91.8,78,7.8,75,244,5,54
FV-21,FV,89.7,100,10.0,74,300,6,60
F1-47,F1,49.0,49,4.9,397,310,23,22
F2-33,F2,152.3,42,4.2,44,364,28,14
FV-22,FV,90.7,43,4.3,75,371,3,35
F2-34,F2,153.3,58,5.8,0,378,43,23
FV-23,FV,90.4,134,13.4,74,407,5,114
F1-48,F1,32.2,83,8.3,98,411,52,36
FV-24,FV,85.9,231,23.1,0,429,49,101
F2-35,F2,153.4,234,23.4,232,437,103,74
F1-50,F1,16.9,280,28.0,851,437,94,38
F1-51,F1,39.7,35,3.5,604,445,30,21
FV-26,FV,91.2,130,13.0,937,450,40,45
F1-52,F1,39.8,68,6.8,609,478,37,27
F2-38,F2,106.0,67,6.7,117,489,24,20
F2-39,F2,141.8,46,4.6,744,490,33,18
F2-40,F2,120.8,42,4.2,529,501,31,28
F1-53,F1,23.6,32,3.2,183,503,24,12
F1-54,F1,30.1,157,15.7,903,510,77,46
F1-56,F1,23.9,118,11.8,317,531,51,30
F2-42,F2,155.3,57,5.7,101,542,40,19
F1-57,F1,42.8,317,31.7,0,558,74,58
F2-44,F2,149.1,155,15.5,720,637,84,50
F1-59,F1,33.2,124,12.4,221,644,59,31
F2-45,F2,140.9,48,4.8,513,666,29,18
F2-46,F2,164.6,36,3.6,213,677,24,13
F1-60,F1,78.6,128,12.8,391,677,60,62
FV-27,FV,87.5,58,5.8,824,688,36,34
FV-28,FV,93.5,72,7.2,883,699,27,44
F1-61,F1,16.8,76,7.6,62,719,46,13
F1-62,F1,19.6,60,6.0,717,779,51,21
