id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,24.1,166,16.6,0,0,69,34
F1-02,F1,39.8,153,15.3,186,0,46,45
F1-03,F1,19.0,332,33.2,774,0,149,67
F2-01,F2,141.9,82,8.2,146,11,39,29
F2-02,F2,100.4,49,4.9,962,14,26,41
F2-04,F2,154.2,163,16.3,400,28,80,39
F2-05,F2,156.5,336,33.6,383,30,155,75
F2-06,F2,106.3,34,3.4,174,33,11,23
F1-06,F1,46.9,137,13.7,82,34,52,56
FV-01,FV,91.8,47,4.7,0,41,20,28
F2-07,F2,118.3,45,4.5,64,41,20,22
F2-08,F2,155.9,160,16.0,135,42,58,51
F2-09,F2,153.3,85,8.5,194,43,55,27
F2-10,F2,137.8,53,5.3,697,47,28,22
F1-07,F1,66.8,43,4.3,56,55,18,27
F2-11,F2,155.1,58,5.8,910,55,35,20
F2-12,F2,103.9,157,15.7,0,57,54,51
F1-08,F1,38.2,241,24.1,201,65,103,71
F2-13,F2,163.7,138,13.8,562,71,75,41
F1-09,F1,46.2,59,5.9,962,70,30,34
F2-14,F2,98.9,62,6.2,76,76,27,28
F1-10,F1,69.0,65,6.5,712,77,36,36
F1-11,F1,35.0,34,3.4,748,77,23,18
F2-15,F2,120.2,33,3.3,812,78,14,17
F2-16,F2,157.4,448,44.8,331,86,171,83
F1-12,F1,37.8,45,4.5,531,86,30,25
F2-17,F2,160.9,74,7.4,36,93,43,22
F2-19,F2,147.4,110,11.0,88,94,54,32
F2-20,F2,118.4,59,5.9,663,97,29,26
F2-21,F2,142.1,42,4.2,764,96,19,19
F2-22,F2,150.2,138,13.8,289,105,93,56
F1-14,F1,83.2,162,16.2,809,104,20,118
F2-23,F2,102.7,33,3.3,986,105,7,24
F2-24,F2,157.0,94,9.4,0,107,35,22
F1-15,F1,48.4,52,5.2,890,109,26,22
F1-16,F1,36.7,68,6.8,623,111,25,22
F2-26,F2,160.3,110,11.0,541,113,43,33
F2-27,F2,123.1,78,7.8,493,115,39,43
F2-28,F2,140.2,58,5.8,224,116,31,30
F2-29,F2,129.3,32,3.2,392,116,16,16
F2-30,F2,161.0,97,9.7,701,116,77,25
F1-18,F1,84.6,80,8.0,779,117,11,65
F2-31,F2,147.5,259,25.9,50,120,81,65
F2-32,F2,114.3,154,15.4,0,132,55,58
F1-20,F1,81.2,32,3.2,152,141,11,15
F1-21,F1,55.2,49,4.9,213,146,21,30
F2-33,F2,128.3,159,15.9,497,146,47,61
F2-34,F2,157.1,36,3.6,658,146,31,14
F2-35,F2,161.2,135,13.5,527,154,52,44
F2-37,F2,143.4,39,3.9,177,157,23,24
F2-38,F2,111.0,235,23.5,561,156,87,130
F2-39,F2,153.6,131,13.1,402,158,90,43
F1-22,F1,40.4,379,37.9,137,161,107,100
F1-23,F1,50.3,72,7.2,128,164,35,32
F2-40,F2,121.9,184,18.4,670,165,63,64
F2-41,F2,153.2,32,3.2,239,167,21,12
F2-42,F2,150.9,87,8.7,240,166,46,48
F2-43,F2,154.1,77,7.7,440,175,57,29
F1-25,F1,78.9,30,3.0,787,183,7,22
F1-26,F1,16.7,44,4.4,72,194,29,15
F2-44,F2,152.3,62,6.2,89,204,41,23
F1-27,F1,40.4,65,6.5,55,211,22,20
F2-46,F2,157.4,34,3.4,927,214,31,14
F2-47,F2,156.9,132,13.2,449,216,52,43
FV-04,FV,90.6,506,50.6,795,223,52,318
F2-48,F2,120.0,65,6.5,301,224,30,28
F2-49,F2,151.6,89,8.9,498,226,62,33
F2-50,F2,148.2,233,23.3,682,229,90,58
F1-29,F1,57.4,62,6.2,777,243,24,34
F1-30,F1,69.6,96,9.6,272,252,42,47
F1-31,F1,22.2,33,3.3,600,255,17,13
F1-32,F1,21.3,191,19.1,615,254,82,49
F2-53,F2,110.7,30,3.0,36,257,10,16
FV-05,FV,92.1,74,7.4,444,258,27,30
F2-54,F2,147.3,31,3.1,472,259,25,16
F1-34,F1,54.2,56,5.6,307,260,21,29
F2-56,F2,134.7,118,11.8,20,262,54,47
F1-35,F1,68.6,169,16.9,245,266,61,97
F2-57,F2,111.6,46,4.6,770,268,17,18
F1-36,F1,76.1,31,3.1,175,273,9,21
F2-58,F2,143.2,199,19.9,658,274,90,82
F1-37,F1,17.6,134,13.4,475,277,71,47
F1-38,F1,35.5,38,3.8,637,280,22,17
F2-60,F2,153.3,56,5.6,0,285,36,19
F2-61,F2,126.7,99,9.9,408,285,29,39
F2-62,F2,161.3,47,4.7,194,286,38,15
F2-63,F2,132.7,112,11.2,538,287,43,42
F1-39,F1,42.0,106,10.6,743,289,46,44
F2-64,F2,134.3,155,15.5,591,291,54,52
F2-65,F2,157.0,70,7.0,52,294,49,22
F2-66,F2,152.1,119,11.9,103,301,90,51
F2-67,F2,154.2,92,9.2,333,300,68,32
F2-68,F2,153.6,88,8.8,189,303,56,30
F2-71,F2,165.0,347,34.7,414,319,134,92
F2-72,F2,136.2,145,14.5,747,319,56,54
F2-73,F2,122.8,131,13.1,378,320,38,51
F1-41,F1,27.0,179,17.9,29,325,73,49
F2-74,F2,101.5,284,28.4,616,335,86,72
F2-76,F2,151.8,42,4.2,549,341,38,21
F2-77,F2,157.7,48,4.8,221,345,28,19
F2-78,F2,161.3,58,5.8,691,348,26,23
F2-79,F2,141.5,128,12.8,89,350,54,44
F2-80,F2,96.0,252,25.2,766,361,41,107
F2-81,F2,149.0,49,4.9,234,363,35,24
F2-82,F2,142.9,32,3.2,616,366,13,12
F2-83,F2,160.7,153,15.3,349,369,77,41
FV-06,FV,87.3,44,4.4,587,373,18,17
