id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,115.8,44,4.4,458,0,18,25
F2-02,F2,116.9,329,32.9,758,0,79,105
F2-03,F2,145.5,80,8.0,348,6,48,37
F2-04,F2,159.3,286,28.6,528,6,101,71
F2-06,F2,164.7,48,4.8,679,9,35,10
F1-03,F1,39.7,88,8.8,114,11,60,42
FV-02,FV,86.0,58,5.8,252,12,15,26
F1-04,F1,39.3,229,22.9,613,12,80,69
F2-07,F2,146.2,76,7.6,407,15,43,30
F1-05,F1,21.1,86,8.6,155,17,49,35
F2-08,F2,115.6,102,10.2,935,17,48,55
F1-07,F1,40.9,74,7.4,209,21,49,40
F2-10,F2,148.3,116,11.6,736,26,62,43
F2-12,F2,142.3,48,4.8,26,30,28,25
F2-16,F2,131.9,39,3.9,965,38,22,24
FV-03,FV,89.7,51,5.1,699,42,19,22
F2-17,F2,119.0,93,9.3,893,50,41,48
F2-18,F2,126.0,306,30.6,660,53,88,108
F2-19,F2,133.9,292,29.2,383,64,94,73
FV-04,FV,88.8,198,19.8,32,68,51,97
F2-20,F2,129.7,68,6.8,805,68,35,34
F1-09,F1,25.3,155,15.5,564,72,90,38
F2-21,F2,137.8,89,8.9,481,77,51,37
F1-10,F1,77.2,101,10.1,18,80,24,34
F1-12,F1,79.1,151,15.1,953,81,38,74
F2-22,F2,126.6,79,7.9,116,84,35,36
F2-23,F2,147.0,108,10.8,170,84,53,36
F2-24,F2,135.4,892,89.2,770,85,198,195
F2-25,F2,157.1,58,5.8,325,86,38,28
FV-05,FV,89.8,53,5.3,264,97,29,23
F1-14,F1,18.6,82,8.2,577,97,43,29
F2-27,F2,114.6,300,30.0,680,103,74,85
F2-28,F2,145.5,329,32.9,350,109,128,89
F2-29,F2,114.2,58,5.8,798,109,28,32
F2-30,F2,120.6,31,3.1,667,110,20,27
F2-31,F2,122.0,43,4.3,340,115,22,31
F2-32,F2,152.2,77,7.7,615,116,60,32
F2-33,F2,105.5,102,10.2,9,118,27,59
F2-34,F2,140.6,749,74.9,442,126,172,156
F2-35,F2,127.1,356,35.6,656,131,143,150
F1-15,F1,82.6,47,4.7,454,135,16,23
F2-36,F2,121.0,191,19.1,612,138,55,72
F2-37,F2,138.7,43,4.3,487,140,24,18
F2-38,F2,112.1,52,5.2,316,146,23,33
F2-39,F2,98.2,40,4.0,263,148,19,21
F2-40,F2,127.1,43,4.3,138,150,18,21
F2-41,F2,148.8,52,5.2,66,153,41,25
F2-43,F2,134.7,87,8.7,593,158,47,38
F2-44,F2,112.4,130,13.0,643,162,47,53
F2-45,F2,149.5,110,11.0,957,172,43,32
F1-18,F1,78.9,652,65.2,32,178,104,167
F1-19,F1,17.0,36,3.6,20,181,24,13
F2-46,F2,131.4,38,3.8,770,183,19,17
F1-20,F1,15.3,118,11.8,241,184,60,17
F1-21,F1,53.4,34,3.4,341,187,18,21
F2-51,F2,140.9,45,4.5,3,206,30,27
F2-52,F2,102.7,270,27.0,573,208,52,90
F1-23,F1,45.8,66,6.6,174,210,39,32
F2-53,F2,101.7,44,4.4,981,213,19,22
F1-24,F1,32.0,39,3.9,32,217,19,14
F1-25,F1,75.3,34,3.4,368,220,10,24
F2-54,F2,96.5,67,6.7,623,220,23,44
F2-55,F2,132.1,36,3.6,751,229,16,22
F2-56,F2,155.1,153,15.3,406,230,67,52
F2-59,F2,158.0,88,8.8,132,248,52,31
F1-28,F1,18.6,58,5.8,355,253,28,12
F2-60,F2,131.9,637,63.7,585,253,147,134
F2-61,F2,100.4,62,6.2,955,253,14,32
F1-29,F1,76.5,35,3.5,980,263,13,16
F1-30,F1,35.8,31,3.1,848,270,14,13
F1-31,F1,79.4,54,5.4,9,274,21,27
F2-65,F2,156.9,81,8.1,807,274,40,26
F1-32,F1,17.1,30,3.0,614,278,20,10
F2-67,F2,139.5,169,16.9,449,280,78,54
F1-33,F1,62.5,90,9.0,548,282,34,39
F2-69,F2,131.3,165,16.5,746,284,61,58
F1-34,F1,83.7,36,3.6,878,285,17,22
FV-06,FV,92.3,64,6.4,954,291,6,45
F1-36,F1,18.6,69,6.9,29,301,33,14
F1-37,F1,66.2,65,6.5,915,303,27,26
F2-70,F2,129.6,51,5.1,424,311,26,21
F2-71,F2,130.0,78,7.8,523,311,27,29
F2-72,F2,138.8,152,15.2,688,318,66,59
F1-38,F1,64.0,90,9.0,4,322,32,33
F1-39,F1,34.0,508,50.8,456,330,133,86
F2-73,F2,147.9,93,9.3,935,335,59,35
F2-75,F2,144.7,89,8.9,192,345,70,45
F1-40,F1,44.9,70,7.0,372,344,40,38
F2-76,F2,163.2,42,4.2,57,355,34,14
F2-77,F2,162.3,232,23.2,769,361,69,56
F2-78,F2,139.5,31,3.1,362,364,13,12
F1-42,F1,26.9,125,12.5,536,370,70,33
F2-79,F2,148.7,31,3.1,909,370,25,15
F1-43,F1,69.9,277,27.7,7,375,89,82
F1-44,F1,39.9,531,53.1,881,376,119,128
F2-80,F2,150.5,65,6.5,623,379,51,26
F2-81,F2,155.8,63,6.3,343,382,47,22
F1-45,F1,34.9,83,8.3,733,383,41,27
F2-82,F2,146.1,60,6.0,868,385,40,26
F2-83,F2,147.1,141,14.1,581,415,55,33
F2-84,F2,117.3,223,22.3,63,416,83,125
F1-46,F1,72.2,99,9.9,442,416,38,48
F1-47,F1,82.1,98,9.8,838,418,36,50
F2-85,F2,156.1,89,8.9,706,427,46,29
F2-86,F2,153.6,34,3.4,799,429,23,12
F2-87,F2,147.5,53,5.3,525,434,44,26
F2-88,F2,148.1,75,7.5,745,441,53,31
F1-49,F1,58.1,77,7.7,171,453,35,35
F2-89,F2,134.8,133,13.3,396,452,45,52
F1-51,F1,75.7,171,17.1,475,455,49,46
F2-90,F2,149.8,392,39.2,105,461,130,100
F2-91,F2,149.3,39,3.9,236,462,29,20
F2-93,F2,147.0,44,4.4,526,466,38,21
F2-94,F2,115.0,31,3.1,611,468,23,27
FV-08,FV,88.0,43,4.3,834,468,10,28
F2-95,F2,139.7,60,6.0,648,472,32,21
F2-96,F2,151.7,40,4.0,711,472,33,19
F2-97,F2,143.7,101,10.1,0,489,62,48
F2-99,F2,133.9,96,9.6,363,490,33,37
F2-100,F2,99.6,51,5.1,460,495,27,28
F2-101,F2,148.8,30,3.0,677,496,24,15
F1-55,F1,77.1,117,11.7,831,497,34,69
F1-56,F1,34.5,36,3.6,515,498,26,18
F2-103,F2,146.4,50,5.0,947,504,36,24
F1-57,F1,35.5,121,12.1,259,512,42,31
F2-104,F2,141.8,84,8.4,330,512,37,35
F1-58,F1,48.8,64,6.4,542,513,37,48
F1-59,F1,17.9,63,6.3,49,516,37,16
