id,family,angle_deg,length_px,length_cm,x,y,width,height
FV-01,FV,87.4,72,7.2,39,0,8,49
F1-01,F1,64.0,293,29.3,471,0,69,65
FV-02,FV,91.0,69,6.9,688,0,3,47
F2-01,F2,95.4,216,21.6,802,0,42,77
F1-02,F1,16.3,207,20.7,109,13,107,65
F1-03,F1,61.2,99,9.9,178,12,30,54
F1-04,F1,57.2,56,5.6,3,16,22,31
F2-02,F2,162.4,50,5.0,565,24,37,14
F2-03,F2,154.0,83,8.3,450,36,29,25
F1-05,F1,25.0,55,5.5,66,51,23,18
FV-03,FV,89.4,140,14.0,681,57,22,55
F2-04,F2,98.1,179,17.9,760,70,37,87
F1-06,F1,45.3,34,3.4,92,73,13,12
F2-05,F2,132.4,52,5.2,153,76,26,31
F2-06,F2,134.7,87,8.7,0,78,32,29
FV-04,FV,89.4,90,9.0,25,80,24,30
F1-08,F1,61.4,253,25.3,214,81,83,89
F2-07,F2,161.2,82,8.2,349,86,42,30
F1-09,F1,80.3,220,22.0,809,92,34,68
F1-10,F1,36.6,77,7.7,575,96,39,29
F2-08,F2,156.6,166,16.6,177,99,62,57
F2-09,F2,116.4,34,3.4,970,100,15,16
F1-11,F1,24.6,218,21.8,543,102,65,50
F2-10,F2,144.3,82,8.2,912,103,29,40
F1-12,F1,29.8,200,20.0,0,108,60,46
FV-07,FV,93.4,106,10.6,388,114,25,49
F2-11,F2,162.1,90,9.0,57,116,34,24
F2-12,F2,156.5,182,18.2,294,117,83,49
F2-13,F2,95.2,98,9.8,687,120,16,43
F2-14,F2,104.6,74,7.4,0,126,23,47
F2-15,F2,151.8,492,49.2,517,127,105,125
F2-16,F2,110.1,84,8.4,114,129,21,50
F1-14,F1,27.3,105,10.5,501,139,59,34
F2-17,F2,156.0,156,15.6,101,146,96,58
F2-18,F2,140.1,146,14.6,772,147,51,45
F2-19,F2,144.2,79,7.9,198,151,59,43
F2-20,F2,127.6,625,62.5,397,151,92,143
F2-22,F2,118.5,90,9.0,263,158,38,57
F1-16,F1,48.5,43,4.3,486,161,19,26
F1-17,F1,17.4,119,11.9,672,168,47,28
F2-23,F2,116.5,30,3.0,240,171,14,24
F2-24,F2,141.5,36,3.6,548,172,18,17
F2-25,F2,148.3,92,9.2,352,177,53,32
F2-26,F2,106.8,67,6.7,118,186,27,29
F1-18,F1,80.1,34,3.4,172,190,11,36
F2-27,F2,133.7,143,14.3,123,196,72,71
F2-28,F2,128.9,137,13.7,201,196,61,68
FV-10,FV,92.8,44,4.4,715,201,5,32
F2-29,F2,138.3,195,19.5,0,204,100,87
F2-30,F2,146.4,47,4.7,970,204,30,21
F2-31,F2,159.9,75,7.5,283,208,51,27
F2-32,F2,96.6,42,4.2,659,208,7,39
F2-33,F2,130.2,48,4.8,24,216,30,24
F2-34,F2,128.5,83,8.3,958,216,42,56
F2-35,F2,164.1,136,13.6,667,226,43,41
F2-36,F2,125.9,147,14.7,921,226,59,75
F2-37,F2,160.2,38,3.8,750,228,27,16
F1-22,F1,21.9,161,16.1,597,230,67,36
F2-38,F2,163.5,86,8.6,157,234,49,23
F1-23,F1,71.6,96,9.6,258,235,44,49
F2-40,F2,142.9,74,7.4,68,249,54,40
F1-26,F1,82.6,58,5.8,871,253,10,44
F1-27,F1,16.2,103,10.3,302,258,50,38
F2-42,F2,139.1,32,3.2,370,260,22,18
F2-43,F2,158.6,68,6.8,155,263,42,28
F2-44,F2,120.3,35,3.5,186,267,18,30
F2-46,F2,144.0,126,12.6,195,281,67,50
F2-47,F2,124.2,179,17.9,287,280,79,92
F2-48,F2,139.1,173,17.3,883,286,66,61
FV-13,FV,85.2,460,46.0,0,289,80,199
F2-49,F2,140.0,70,7.0,95,290,49,39
F2-50,F2,131.7,69,6.9,263,291,30,22
F2-51,F2,129.6,68,6.8,674,293,41,48
FV-14,FV,94.5,67,6.7,168,298,26,32
F1-29,F1,81.9,76,7.6,789,302,14,42
F2-52,F2,145.7,89,8.9,269,306,66,43
FV-15,FV,89.1,47,4.7,398,306,3,35
FV-16,FV,94.9,75,7.5,556,306,15,44
F2-53,F2,128.5,115,11.5,33,309,48,56
FV-17,FV,91.0,35,3.5,841,312,3,27
F2-54,F2,138.1,88,8.8,33,328,61,53
FV-18,FV,93.2,136,13.6,872,328,29,55
F2-55,F2,135.8,148,14.8,104,331,63,58
F1-32,F1,45.5,33,3.3,197,339,22,24
F2-56,F2,124.3,33,3.3,655,342,19,23
F2-57,F2,152.7,178,17.8,290,347,105,59
F2-58,F2,135.5,47,4.7,237,349,31,30
F2-59,F2,123.3,165,16.5,467,361,59,63
F1-34,F1,83.2,47,4.7,805,365,10,35
F2-60,F2,131.8,34,3.4,184,366,22,28
F2-61,F2,152.2,33,3.3,290,366,25,14
F2-62,F2,130.3,167,16.7,561,366,94,107
F2-63,F2,153.6,188,18.8,172,375,72,51
F2-64,F2,152.4,33,3.3,359,375,29,23
F2-65,F2,160.1,106,10.6,556,381,63,22
