id,family,angle_deg,length_px,length_cm,x,y,width,height
F2-01,F2,130.7,181,18.1,8,0,61,67
FV-01,FV,90.7,148,14.8,91,0,5,102
F1-01,F1,16.6,83,8.3,564,0,34,24
F2-02,F2,128.5,64,6.4,627,0,34,42
F2-03,F2,158.7,76,7.6,857,0,51,31
F2-06,F2,103.0,96,9.6,424,18,36,64
F2-07,F2,121.0,141,14.1,647,20,52,58
FV-02,FV,94.9,98,9.8,598,23,28,52
F1-04,F1,80.7,48,4.8,713,24,12,39
F1-05,F1,38.6,125,12.5,475,31,48,42
F2-08,F2,155.6,67,6.7,865,33,42,23
F2-09,F2,153.8,49,4.9,524,37,26,20
FV-03,FV,89.8,101,10.1,119,38,3,67
F1-06,F1,81.6,36,3.6,407,42,11,27
FV-04,FV,87.9,53,5.3,169,51,8,35
F1-07,F1,84.1,39,3.9,463,50,13,26
F2-10,F2,139.6,34,3.4,573,51,24,21
F1-08,F1,33.1,51,5.1,691,54,21,21
F1-09,F1,75.9,70,7.0,184,56,18,30
F2-11,F2,127.8,44,4.4,7,61,23,31
F2-12,F2,140.0,101,10.1,589,60,62,56
F1-11,F1,83.7,498,49.8,823,68,64,132
F2-13,F2,159.2,81,8.1,522,71,43,34
F2-14,F2,145.4,319,31.9,572,71,154,137
F1-12,F1,57.0,107,10.7,477,74,46,53
FV-05,FV,89.1,47,4.7,409,78,10,34
F2-15,F2,104.5,55,5.5,616,92,18,41
F2-16,F2,123.4,158,15.8,54,103,40,54
F2-17,F2,138.7,77,7.7,425,102,51,39
F2-18,F2,158.2,31,3.1,665,105,15,11
FV-06,FV,88.1,56,5.6,102,107,5,33
F1-14,F1,77.8,30,3.0,723,108,7,24
F2-19,F2,148.5,231,23.1,515,112,73,59
F1-15,F1,67.2,49,4.9,408,119,16,25
F2-20,F2,136.9,69,6.9,479,128,40,35
F1-16,F1,36.8,85,8.5,854,129,42,25
F2-21,F2,151.4,66,6.6,897,133,31,22
F1-18,F1,49.2,40,4.0,91,142,16,21
FV-07,FV,88.6,174,17.4,640,149,41,95
F2-23,F2,98.6,45,4.5,108,151,16,25
F1-19,F1,35.9,359,35.9,410,153,93,76
F2-24,F2,164.6,69,6.9,7,155,44,35
F2-25,F2,106.6,140,14.0,669,160,43,58
FV-08,FV,90.4,182,18.2,83,169,11,77
F2-27,F2,133.3,59,5.9,712,168,23,23
F2-28,F2,114.3,175,17.5,402,171,47,69
F1-21,F1,83.1,227,22.7,273,177,27,86
FV-09,FV,89.6,42,4.2,792,179,3,23
F1-22,F1,74.4,41,4.1,114,184,9,28
F2-30,F2,98.2,156,15.6,6,195,34,66
F1-23,F1,72.6,222,22.2,130,203,40,68
F2-31,F2,136.4,294,29.4,479,202,160,153
F1-24,F1,81.0,54,5.4,186,205,8,42
F2-32,F2,108.7,59,5.9,49,209,18,20
F1-25,F1,35.6,81,8.1,235,214,25,26
F2-33,F2,139.3,89,8.9,488,216,30,31
F2-34,F2,142.4,74,7.4,712,217,52,38
F2-35,F2,111.4,91,9.1,425,219,30,59
F2-36,F2,131.9,120,12.0,445,227,42,46
F2-37,F2,165.0,35,3.5,692,228,30,11
FV-12,FV,90.9,38,3.8,328,232,2,23
F2-39,F2,110.1,35,3.5,32,234,14,24
F2-40,F2,142.3,57,5.7,659,241,26,26
FV-13,FV,91.0,596,59.6,58,245,92,84
F2-41,F2,114.8,881,88.1,148,249,121,124
F1-27,F1,45.4,49,4.9,252,251,34,24
F1-28,F1,80.3,179,17.9,388,255,38,83
F2-42,F2,135.5,57,5.7,609,255,37,41
F2-43,F2,133.2,74,7.4,676,255,35,38
F2-45,F2,113.1,120,12.0,611,268,46,98
F2-46,F2,127.1,50,5.0,424,274,23,34
F1-30,F1,72.5,184,18.4,956,279,44,60
F1-31,F1,70.8,37,3.7,786,283,14,24
F1-32,F1,53.6,74,7.4,770,284,30,48
F2-49,F2,117.3,134,13.4,920,284,32,76
F2-50,F2,135.0,63,6.3,731,287,26,29
F2-51,F2,135.7,30,3.0,585,299,20,19
F1-34,F1,65.5,37,3.7,9,311,18,26
F2-52,F2,144.3,77,7.7,37,311,28,34
F2-53,F2,123.2,82,8.2,674,312,45,63
F2-54,F2,140.4,128,12.8,500,318,84,71
FV-14,FV,94.5,200,20.0,403,330,26,103
F1-38,F1,42.1,87,8.7,942,341,36,30
FV-16,FV,91.8,40,4.0,4,345,4,30
F1-39,F1,78.4,32,3.2,353,344,6,24
F2-56,F2,145.9,423,42.3,420,351,187,138
F1-42,F1,19.9,1048,104.8,207,355,206,177
FV-17,FV,90.5,123,12.3,771,357,4,90
F1-43,F1,81.6,44,4.4,80,363,11,28
F2-59,F2,142.8,58,5.8,431,362,41,27
F2-60,F2,164.1,47,4.7,18,365,33,12
F2-61,F2,144.2,538,53.8,607,364,161,149
F2-62,F2,139.9,381,38.1,84,369,119,75
F2-63,F2,115.5,70,7.0,586,369,26,56
F2-64,F2,160.5,35,3.5,472,373,20,16
F2-65,F2,146.2,90,9.0,622,376,49,43
F1-44,F1,62.3,111,11.1,877,381,38,56
F2-66,F2,114.7,434,43.4,0,384,103,80
F2-67,F2,159.8,66,6.6,141,392,41,15
F1-45,F1,22.3,33,3.3,75,397,20,11
F2-68,F2,131.3,63,6.3,455,397,33,38
F2-70,F2,98.1,52,5.2,591,423,25,33
F2-71,F2,126.4,125,12.5,538,427,51,68
F2-74,F2,139.6,52,5.2,731,452,37,29
F2-76,F2,104.6,47,4.7,978,463,22,27
F1-49,F1,58.6,530,53.0,769,481,120,128
F1-50,F1,68.7,34,3.4,735,482,11,29
F1-51,F1,50.3,177,17.7,524,489,66,82
F2-78,F2,108.8,178,17.8,423,490,48,49
F2-79,F2,150.1,56,5.6,576,497,38,26
F2-80,F2,103.9,66,6.6,627,499,21,34
F2-81,F2,105.9,265,26.5,720,512,43,107
FV-19,FV,88.4,60,6.0,768,516,7,45
F2-82,F2,126.2,117,11.7,388,519,34,51
F2-83,F2,134.1,137,13.7,578,519,53,58
F2-85,F2,141.2,78,7.8,441,523,58,47
F2-87,F2,118.3,53,5.3,707,526,23,37
F1-56,F1,57.4,108,10.8,527,531,40,51
F1-57,F1,21.9,72,7.2,0,534,27,19
F1-58,F1,29.7,322,32.2,625,537,70,72
F1-60,F1,15.7,518,51.8,417,539,91,84
F2-89,F2,117.6,60,6.0,17,561,37,39
F1-62,F1,70.1,85,8.5,407,565,26,56
FV-20,FV,94.3,42,4.2,696,565,17,19
F1-63,F1,36.4,39,3.9,585,570,21,16
F2-90,F2,153.7,264,26.4,873,576,127,76
F1-64,F1,79.5,147,14.7,601,579,38,46
FV-21,FV,89.5,49,4.9,579,584,13,26
F2-91,F2,112.6,139,13.9,727,586,40,46
F1-66,F1,78.3,48,4.8,559,590,21,21
F2-92,F2,109.6,35,3.5,732,592,12,19
F2-93,F2,138.6,85,8.5,40,598,51,40
F2-94,F2,164.6,37,3.7,357,611,30,8
F1-69,F1,80.0,91,9.1,410,640,17,73
F2-95,F2,162.9,38,3.8,587,647,26,13
F2-97,F2,145.6,82,8.2,810,651,52,31
F1-73,F1,70.7,43,4.3,329,668,20,27
F1-74,F1,16.6,70,7.0,521,679,32,24
F1-75,F1,19.3,53,5.3,735,688,31,19
F2-98,F2,122.1,78,7.8,114,690,37,35
F1-77,F1,28.4,64,6.4,805,700,40,24
F1-80,F1,15.2,51,5.1,475,747,36,12
F1-82,F1,30.8,100,10.0,837,755,43,26
F2-103,F2,113.8,52,5.2,345,760,28,28
