id,family,angle_deg,length_px,length_cm,x,y,width,height
F1-01,F1,82.8,201,20.1,0,0,42,60
FV-01,FV,93.1,108,10.8,43,0,22,54
F2-01,F2,148.3,52,5.2,167,0,30,21
F2-02,F2,147.5,106,10.6,294,0,56,35
F1-04,F1,28.4,172,17.2,388,0,54,42
F1-05,F1,74.2,433,43.3,452,0,99,154
F2-03,F2,115.7,92,9.2,532,0,34,37
F1-06,F1,45.3,107,10.7,717,0,58,48
FV-02,FV,85.5,250,25.0,923,0,22,113
F1-07,F1,78.2,434,43.4,596,5,74,92
F1-08,F1,70.4,373,37.3,552,21,68,121
F2-05,F2,152.8,103,10.3,676,30,65,40
F1-09,F1,38.5,36,3.6,507,32,26,18
F1-11,F1,70.9,96,9.6,943,64,25,52
F2-06,F2,142.8,257,25.7,212,76,102,86
FV-04,FV,90.7,209,20.9,540,80,30,113
F2-08,F2,150.3,87,8.7,336,87,42,28
F2-09,F2,115.5,100,10.0,161,101,45,57
F1-12,F1,40.9,130,13.0,34,105,61,50
F2-10,F2,131.5,46,4.6,266,112,19,16
FV-05,FV,90.7,178,17.8,938,114,19,86
F1-13,F1,40.0,96,9.6,19,116,42,35
F2-11,F2,150.7,164,16.4,609,117,73,40
F2-12,F2,146.9,97,9.7,256,119,73,49
F2-13,F2,147.5,53,5.3,98,121,44,26
F1-14,F1,42.7,74,7.4,479,120,31,29
F2-14,F2,120.8,82,8.2,107,126,37,59
F1-16,F1,78.6,101,10.1,338,144,40,41
F2-16,F2,153.2,32,3.2,150,158,26,15
F2-17,F2,140.1,32,3.2,236,163,19,16
F2-18,F2,143.2,200,20.0,302,169,98,83
FV-07,FV,94.3,270,27.0,919,171,52,102
F2-19,F2,115.4,51,5.1,246,176,15,32
F2-20,F2,122.9,66,6.6,577,179,27,26
F1-17,F1,54.0,53,5.3,279,183,22,22
F2-21,F2,154.5,67,6.7,0,185,45,22
F2-22,F2,146.8,58,5.8,182,185,42,27
F2-23,F2,100.9,109,10.9,539,198,25,47
F2-24,F2,144.8,68,6.8,139,212,42,28
FV-10,FV,91.6,58,5.8,387,214,19,34
F1-18,F1,59.9,74,7.4,568,214,25,30
F2-25,F2,111.8,100,10.0,161,217,41,57
F2-26,F2,110.7,87,8.7,501,217,41,39
F2-27,F2,164.6,73,7.3,644,216,39,20
F1-19,F1,36.4,97,9.7,437,219,55,37
F2-28,F2,158.0,138,13.8,231,223,70,37
F2-29,F2,130.1,90,9.0,39,226,32,27
F2-30,F2,161.1,80,8.0,96,233,42,23
F2-31,F2,158.1,42,4.2,202,234,31,14
F1-20,F1,17.3,188,18.8,532,237,64,47
