id,family,angle_deg,length_px,length_cm,x,y,width,height
FV-01,FV,91.1,56,5.6,47,0,4,39
F2-01,F2,100.2,33,3.3,240,0,9,20
F2-02,F2,127.8,36,3.6,320,0,27,30
FV-02,FV,86.1,93,9.3,772,0,9,73
F1-01,F1,84.4,138,13.8,805,0,13,107
F2-03,F2,107.2,80,8.0,161,8,26,37
F1-03,F1,17.6,32,3.2,401,9,31,13
F2-04,F2,145.1,81,8.1,672,9,59,43
F1-04,F1,16.4,39,3.9,486,12,28,13
F2-05,F2,104.2,99,9.9,612,13,39,74
F1-05,F1,83.5,92,9.2,980,12,16,40
F1-06,F1,36.9,37,3.7,197,20,17,12
F1-07,F1,82.0,206,20.6,205,20,41,92
F1-08,F1,27.0,32,3.2,923,20,22,11
F2-07,F2,140.6,94,9.4,410,24,41,27
F2-08,F2,121.0,40,4.0,88,29,24,24
F2-09,F2,131.8,91,9.1,507,29,39,49
F1-09,F1,64.1,59,5.9,8,31,22,23
F2-10,F2,144.3,135,13.5,421,33,104,73
F1-13,F1,60.1,44,4.4,583,41,22,37
F2-11,F2,121.8,63,6.3,252,53,22,27
F1-14,F1,78.6,31,3.1,545,53,12,18
F2-12,F2,152.5,34,3.4,643,52,28,16
FV-04,FV,88.1,123,12.3,348,56,36,66
F2-13,F2,107.3,44,4.4,68,58,16,40
F2-15,F2,159.3,39,3.9,90,69,22,19
FV-05,FV,90.8,32,3.2,301,68,12,16
F2-16,F2,112.8,302,30.2,457,68,69,143
F1-16,F1,53.7,146,14.6,265,70,60,68
F2-17,F2,96.3,210,21.0,660,72,51,109
F1-17,F1,84.4,74,7.4,775,75,12,57
F2-18,F2,97.0,317,31.7,525,79,86,102
F1-19,F1,24.3,66,6.6,98,92,54,22
F1-20,F1,20.0,38,3.8,318,100,22,15
F2-20,F2,124.6,77,7.7,90,107,38,39
F1-22,F1,84.6,52,5.2,816,108,6,40
F2-22,F2,105.1,34,3.4,624,117,14,28
F2-25,F2,105.7,31,3.1,506,125,14,24
F2-26,F2,141.1,80,8.0,320,133,62,50
F2-27,F2,148.2,93,9.3,9,134,57,36
F2-28,F2,102.2,88,8.8,761,140,27,50
F1-28,F1,40.8,68,6.8,424,144,38,27
F1-29,F1,50.6,289,28.9,87,147,102,110
F1-30,F1,83.0,32,3.2,265,146,5,21
F2-29,F2,104.7,130,13.0,624,148,31,59
F2-30,F2,119.0,33,3.3,220,150,15,19
F2-31,F2,128.0,112,11.2,718,151,48,48
F1-32,F1,24.3,38,3.8,69,153,21,15
F2-32,F2,133.2,50,5.0,387,152,33,32
F2-33,F2,140.8,68,6.8,503,165,45,36
F2-34,F2,131.8,227,22.7,640,175,95,104
FV-06,FV,86.8,68,6.8,821,174,5,43
F1-35,F1,28.9,75,7.5,353,177,54,34
F1-36,F1,16.6,93,9.3,174,182,48,31
F2-36,F2,142.2,121,12.1,242,183,77,59
F1-38,F1,82.8,102,10.2,765,193,27,40
F2-38,F2,153.5,69,6.9,628,194,50,32
F2-39,F2,139.7,32,3.2,595,198,14,13
F2-40,F2,125.4,103,10.3,7,201,33,47
F2-41,F2,136.0,70,7.0,447,201,55,51
F2-42,F2,142.8,228,22.8,0,207,84,66
F2-43,F2,150.5,50,5.0,510,206,23,19
F1-39,F1,19.8,105,10.5,302,211,65,37
F2-44,F2,132.3,135,13.5,617,216,76,85
FV-07,FV,88.8,41,4.1,825,218,3,30
F1-41,F1,73.3,67,6.7,481,232,30,34
F2-47,F2,110.7,35,3.5,504,232,13,20
F2-49,F2,131.7,344,34.4,368,238,100,101
F2-50,F2,150.8,33,3.3,214,242,27,15
F1-42,F1,61.8,66,6.6,246,242,25,50
F1-43,F1,66.4,37,3.7,527,244,13,28
FV-09,FV,88.8,72,7.2,786,246,9,54
FV-10,FV,89.1,68,6.8,827,249,3,46
F2-51,F2,127.2,238,23.8,545,251,87,105
F2-52,F2,142.2,226,22.6,57,256,156,114
F2-55,F2,141.3,47,4.7,5,266,31,26
F1-46,F1,16.5,57,5.7,544,278,37,21
F1-47,F1,64.9,56,5.6,265,293,22,47
F1-48,F1,63.8,65,6.5,322,292,27,25
F1-49,F1,22.0,66,6.6,715,292,27,28
F1-50,F1,34.3,107,10.7,657,294,46,34
F1-51,F1,77.6,34,3.4,553,297,7,25
FV-12,FV,88.0,199,19.9,829,296,8,156
F2-59,F2,96.5,167,16.7,751,304,47,92
FV-13,FV,86.4,87,8.7,220,311,25,59
F2-60,F2,112.6,264,26.4,150,315,71,95
F1-55,F1,29.6,37,3.7,766,321,23,12
F1-56,F1,25.3,147,14.7,305,323,65,57
F2-61,F2,141.8,55,5.5,551,331,38,31
F2-63,F2,118.9,155,15.5,348,340,44,74
F2-64,F2,164.9,74,7.4,621,342,34,26
F2-65,F2,149.9,78,7.8,665,345,38,31
F2-66,F2,145.3,84,8.4,251,347,53,39
F2-67,F2,121.4,48,4.8,388,351,28,29
F2-69,F2,153.9,41,4.1,511,361,35,20
F1-59,F1,35.3,40,4.0,62,367,31,26
F1-60,F1,71.6,53,5.3,316,368,22,25
F1-61,F1,40.3,129,12.9,628,371,61,43
F2-70,F2,113.2,254,25.4,659,373,91,155
F2-71,F2,141.1,63,6.3,12,375,45,37
F2-73,F2,135.3,112,11.2,175,379,75,71
F1-63,F1,40.4,200,20.0,502,387,75,54
F1-64,F1,16.8,41,4.1,560,392,28,12
F1-65,F1,68.9,83,8.3,778,398,20,47
F1-66,F1,35.9,70,7.0,268,405,33,26
F2-77,F2,129.2,67,6.7,335,408,28,40
F2-80,F2,136.7,61,6.1,416,424,47,43
F1-73,F1,19.1,34,3.4,242,438,21,12
F2-83,F2,161.8,60,6.0,22,441,31,18
F1-74,F1,16.9,72,7.2,576,443,54,21
F1-75,F1,75.5,31,3.1,710,442,12,19
F1-76,F1,31.0,102,10.2,737,445,46,32
F2-84,F2,136.1,219,21.9,21,450,153,143
F2-85,F2,138.0,272,27.2,489,451,169,155
FV-17,FV,89.2,208,20.8,835,453,6,168
F1-77,F1,51.1,37,3.7,555,454,23,19
F1-78,F1,83.8,31,3.1,792,454,9,25
F2-87,F2,164.7,110,11.0,166,459,43,32
F2-88,F2,141.3,212,21.2,269,458,92,77
F1-79,F1,20.6,69,6.9,374,459,40,24
F1-81,F1,62.1,41,4.1,280,467,15,20
F2-90,F2,132.3,40,4.0,242,473,24,21
F1-83,F1,15.1,43,4.3,2,478,28,15
F1-84,F1,30.1,33,3.3,702,483,26,20
F1-85,F1,38.1,180,18.0,731,485,67,76
F2-92,F2,114.4,116,11.6,14,487,52,68
F2-93,F2,147.3,98,9.8,364,486,40,39
F2-95,F2,140.8,81,8.1,511,492,44,30
FV-19,FV,88.5,34,3.4,329,506,4,21
F2-96,F2,140.3,45,4.5,423,510,19,18
F1-87,F1,83.0,42,4.2,485,518,15,26
